Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0033347606658935547
7,10,4,2,0,4.0,4.0,9.0,21.0,2.0,0.018355131149291992
14,12,8,6,0,11.0,11.0,24.5,65.0,5.0,0.031613826751708984
21,11,10,5,0,10.0,10.0,13.5,58.0,4.0,0.038665056228637695
28,10,14,5,0,10.0,10.0,23.5,52.0,5.0,0.07300591468811035
35,14,13,4,0,9.0,9.0,12.5,44.0,4.0,0.13470172882080078
42,21,13,9,0,16.0,16.0,77.5,108.0,8.0,0.2953989505767822
49,27,15,5,0,9.0,9.0,20.0,60.0,5.0,0.3095130920410156
56,31,17,3,0,5.0,5.0,26.5,34.0,3.0,0.7416777610778809
63,19,15,5,1,8.0,10.6,31.5,73.0,5.0,0.28074193000793457
70,15,14,10,0,16.0,16.0,59.0,101.0,10.0,0.20610404014587402
77,16,14,9,0,18.0,18.0,37.5,105.0,9.0,0.25032806396484375
84,18,15,5,0,11.0,11.0,25.0,58.0,5.0,0.32119131088256836
91,22,17,9,0,15.0,15.0,45.5,102.0,8.0,0.48807716369628906
98,21,17,4,1,8.0,9.899999999999999,28.0,67.0,5.0,0.25742101669311523
105,21,16,2,0,5.0,5.0,13.0,22.0,2.0,0.22679615020751953
112,16,17,6,0,9.0,9.0,19.0,67.0,4.0,0.2158958911895752
119,12,17,7,0,13.0,13.0,50.0,80.0,5.0,0.1728379726409912
126,16,17,10,0,19.0,19.0,88.0,110.0,8.0,0.2975192070007324
133,19,16,5,0,8.0,8.0,32.0,55.0,4.0,0.31348514556884766
140,20,20,15,0,27.0,27.0,87.5,157.0,10.0,0.5679690837860107
147,25,18,7,0,16.0,16.0,38.5,82.0,7.0,0.4759089946746826
154,27,17,6,0,14.0,14.0,21.0,72.0,6.0,0.5970211029052734
161,22,18,3,0,5.0,5.0,14.5,28.0,3.0,0.5668301582336426
168,28,17,4,0,8.0,8.0,24.0,50.0,4.0,0.9924161434173584
175,21,16,2,0,3.0,3.0,9.0,20.0,2.0,0.3757162094116211
182,23,17,3,2,12.0,15.399999999999999,60.0,83.0,7.0,0.49282193183898926
189,25,14,11,0,16.0,16.0,44.0,113.0,10.0,0.6063990592956543
196,29,17,6,0,9.0,9.0,35.0,73.0,6.0,0.9515879154205322
203,32,17,12,0,27.0,27.0,38.0,143.0,11.0,1.1152188777923584
210,24,18,2,1,5.0,5.8,13.5,44.0,4.0,0.8340096473693848
217,20,17,5,0,9.0,9.0,20.5,63.0,5.0,0.373096227645874
224,22,17,10,0,17.0,17.0,38.0,120.0,10.0,0.3075718879699707
231,24,18,16,1,28.0,28.1,77.0,189.0,14.0,0.5961480140686035
238,28,15,6,1,13.0,14.5,51.5,87.0,7.0,0.6392800807952881
245,24,15,6,1,9.0,9.1,43.5,100.0,8.0,0.6310489177703857
252,24,17,6,0,8.0,8.0,17.5,61.0,6.0,0.871042013168335
259,16,17,1,0,1.0,1.0,2.5,13.0,1.0,0.274838924407959
266,18,16,6,0,11.0,11.0,48.0,67.0,5.0,0.3655972480773926
273,19,16,7,0,15.0,15.0,16.5,75.0,6.0,0.3413267135620117
280,17,15,4,0,9.0,9.0,13.5,42.0,4.0,0.20147705078125
287,19,17,7,0,12.0,12.0,31.5,79.0,7.0,0.30525803565979004
294,26,16,9,1,18.0,18.8,53.5,110.0,9.0,0.7583160400390625
