Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,"['History', 'Biology', 'Maths', 'Geography', 'English']","[5, 3, 3, 4, 2]",1,True,10,1,N,3,N,0,1,0.0,68,82
1,['Music'],[2],3,False,5,0,0,1,N,0,1,0.0,80,98
2,"['Chemistry', 'Maths', 'Science', 'Biology', 'Literature']","[3, 4, 2, 5, 4]",0,False,7,0,N,1,N,0,1,0.0,108,126
3,"['Geography', 'English']","[2, 3]",3,True,8,0,N,1,N,0,1,0.0,114,135
4,['Chemistry'],[4],1,True,1,0,1,1,N,0,1,0.0,6,20
5,"['Literature', 'English', 'Biology']","[4, 5, 4]",3,True,7,1,N,3,N,0,1,0.0,36,52
6,"['Economics', 'Music', 'Physical Education']","[4, 3, 2]",1,True,2,1,N,3,N,0,1,0.0,212,229
7,"['Foreign Language', 'English']","[2, 4]",0,True,5,1,N,1,N,0,1,0.0,72,91
8,['Literature'],[2],1,False,8,3,N,3,N,0,1,0.0,170,189
9,"['Science', 'Physical Education', 'Economics']","[2, 2, 3]",3,False,3,0,N,0,N,0,1,0.0,254,272
10,"['Physics', 'Foreign Language']","[3, 2]",0,True,4,1,1,3,N,0,1,0.0,10,30
11,['Physics'],[5],1,True,4,0,N,3,N,0,1,0.0,18,35
12,['Economics'],[5],1,True,1,1,N,1,N,0,1,0.0,192,206
13,"['Computer Science', 'Maths', 'Geography', 'Economics']","[2, 3, 2, 4]",3,True,6,0,N,3,N,0,1,0.0,32,50
14,"['Physical Education', 'Chemistry', 'Maths']","[5, 3, 5]",3,True,3,1,N,1,N,0,1,0.0,198,214
15,"['Physics', 'English', 'Foreign Language', 'Maths']","[3, 5, 2, 3]",0,False,10,0,0,0,N,0,1,0.0,104,124
16,"['Literature', 'Physical Education']","[5, 2]",3,False,8,1,2,0,N,0,1,0.0,174,188
17,['English'],[2],0,False,1,0,2,0,N,0,1,0.0,94,108
18,['History'],[5],0,False,7,0,1,1,N,0,1,0.0,40,55
19,['Foreign Language'],[4],3,True,2,1,N,1,N,0,1,0.0,276,293
20,"['Chemistry', 'Foreign Language']","[5, 4]",1,True,4,0,N,0,N,0,1,0.0,268,288
21,"['Art', 'Biology', 'Economics', 'Chemistry']","[4, 4, 4, 4]",0,False,4,0,N,3,N,0,1,0.0,4,22
22,"['Literature', 'Music', 'Science', 'History']","[2, 5, 4, 2]",3,False,5,1,1,3,N,0,1,0.0,262,282
23,['History'],[2],0,True,7,3,N,0,N,0,1,0.0,196,217
24,"['Economics', 'Art']","[3, 2]",0,False,1,0,N,0,N,0,1,0.0,112,131
25,"['Music', 'Maths']","[2, 3]",1,True,1,0,N,0,S,1,0,4.5,294,308
26,"['Computer Science', 'Literature']","[2, 5]",3,False,6,0,N,1,N,0,1,0.0,296,315
27,"['Economics', 'Physical Education', 'Biology']","[2, 5, 2]",1,True,3,0,2,3,N,0,1,0.0,166,185
28,['Geography'],[4],1,False,3,1,1,3,N,0,1,0.0,278,295
29,"['Physics', 'English', 'Economics', 'Art']","[5, 5, 2, 3]",0,False,5,0,N,1,N,0,1,0.0,164,180
30,"['History', 'Foreign Language', 'Computer Science']","[3, 4, 2]",0,True,5,0,N,0,N,0,1,0.0,182,198
31,"['English', 'Computer Science']","[5, 3]",0,True,4,1,0,1,N,0,1,0.0,160,180
32,"['Foreign Language', 'Science', 'Physics', 'Biology']","[2, 5, 2, 2]",0,False,6,0,N,0,W,1,3,1.5,120,134
33,"['Physical Education', 'Music', 'Literature', 'History']","[4, 5, 5, 5]",3,True,7,1,N,1,N,0,1,0.0,126,146
34,"['Economics', 'Geography']","[3, 2]",0,False,3,0,1,3,N,0,1,0.0,280,296
