Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
14,8,8,6,1,14.0,14.8,34.5,87.0,6.0,0.0579071044921875
28,21,13,15,0,29.0,29.0,90.0,147.0,10.0,0.21625876426696777
42,14,15,10,0,20.0,20.0,41.5,103.0,7.0,0.10193419456481934
56,16,18,8,0,18.0,18.0,44.5,85.0,6.0,0.17984485626220703
70,16,17,13,1,25.0,25.1,79.5,158.0,10.0,0.25563478469848633
84,16,17,9,1,20.0,22.6,68.0,126.0,9.0,0.34152698516845703
98,15,17,13,2,29.0,30.6,84.5,191.0,13.0,0.32856035232543945
112,19,18,14,0,31.0,31.0,95.5,153.0,12.0,0.3383369445800781
126,24,15,11,3,29.0,32.8,89.0,190.0,14.0,0.5474038124084473
140,21,17,9,2,23.0,23.9,92.0,148.0,11.0,0.5227310657501221
154,17,17,9,0,16.0,16.0,46.0,109.0,9.0,0.49906110763549805
168,16,13,13,0,25.0,25.0,82.0,142.0,9.0,0.14803385734558105
182,20,17,10,0,22.0,22.0,46.0,99.0,7.0,0.21336102485656738
196,22,15,11,0,17.0,17.0,65.5,104.0,8.0,0.5341711044311523
210,22,15,11,1,23.0,23.8,89.0,130.0,12.0,0.6720240116119385
224,19,14,14,1,29.0,29.8,55.0,185.0,13.0,0.5073280334472656
238,27,17,6,2,15.0,15.899999999999999,71.5,116.0,8.0,1.1336312294006348
252,23,16,19,2,42.0,44.7,129.0,251.0,19.0,0.9314119815826416
266,22,18,5,4,18.0,21.6,64.5,140.0,9.0,0.701235294342041
280,19,15,10,1,20.0,21.2,49.0,115.0,10.0,0.4396331310272217
294,21,16,9,0,19.0,19.0,75.0,103.0,9.0,0.4444727897644043
