Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
2,1,2,1,0,1.0,1.0,5.0,8.0,1.0,0.008142709732055664
4,3,3,1,0,3.0,3.0,2.5,11.0,1.0,0.009984016418457031
6,5,4,2,0,5.0,5.0,6.0,21.0,2.0,0.016473054885864258
8,5,5,3,0,6.0,6.0,10.5,32.0,3.0,0.04401206970214844
10,7,6,3,0,7.0,7.0,11.5,29.0,3.0,0.03843212127685547
12,8,7,1,0,2.0,2.0,1.5,11.0,1.0,0.04281902313232422
14,13,8,9,1,15.0,16.2,53.0,118.0,6.0,0.19553613662719727
16,15,8,2,0,2.0,2.0,9.0,24.0,2.0,0.1904308795928955
18,19,9,3,0,5.0,5.0,17.0,33.0,3.0,0.35075998306274414
20,21,10,0,0,0.0,0.0,0.0,0.0,0.0,0.34169602394104004
22,26,11,3,0,7.0,7.0,20.5,35.0,2.0,0.5331408977508545
24,27,12,1,0,2.0,2.0,6.5,12.0,1.0,0.5561788082122803
26,30,13,2,0,4.0,4.0,6.0,24.0,2.0,0.9884788990020752
28,31,14,3,0,5.0,5.0,12.5,34.0,3.0,0.9638559818267822
30,31,15,2,0,5.0,5.0,22.0,23.0,1.0,1.1445820331573486
32,32,16,3,0,7.0,7.0,18.0,36.0,3.0,1.2796931266784668
34,31,17,2,0,2.0,2.0,35.0,18.0,1.0,1.3271489143371582
36,29,18,4,0,6.0,6.0,14.5,43.0,4.0,0.9569568634033203
38,28,19,2,0,5.0,5.0,1.5,16.0,2.0,1.016059160232544
40,27,18,0,0,0.0,0.0,0.0,0.0,0.0,0.6486687660217285
42,27,19,0,0,0.0,0.0,0.0,0.0,0.0,0.6847848892211914
44,26,20,0,0,0.0,0.0,0.0,0.0,0.0,0.5875809192657471
46,24,20,0,0,0.0,0.0,0.0,0.0,0.0,0.4780130386352539
48,20,20,6,0,12.0,12.0,29.0,66.0,6.0,0.3766200542449951
50,23,20,3,0,3.0,3.0,15.0,27.0,2.0,0.5145771503448486
52,22,20,1,0,2.0,2.0,1.0,13.0,1.0,0.5793499946594238
54,18,21,4,0,5.0,5.0,15.0,44.0,4.0,0.4222562313079834
56,19,21,4,0,6.0,6.0,17.0,45.0,4.0,0.4128282070159912
58,21,21,0,0,0.0,0.0,0.0,0.0,0.0,0.4101681709289551
60,20,19,1,0,3.0,3.0,2.5,9.0,1.0,0.3968949317932129
62,22,19,6,0,13.0,13.0,31.5,73.0,6.0,0.468019962310791
64,21,18,3,0,5.0,5.0,13.5,29.0,3.0,0.31811094284057617
66,23,18,6,0,10.0,10.0,24.5,58.0,6.0,0.417722225189209
68,22,18,4,0,6.0,6.0,34.0,43.0,4.0,0.44545483589172363
70,23,19,0,0,0.0,0.0,0.0,0.0,0.0,0.5668048858642578
72,27,19,2,0,4.0,4.0,13.5,22.0,2.0,1.0265910625457764
74,29,18,1,0,2.0,2.0,2.5,12.0,1.0,1.0412919521331787
76,31,18,3,1,7.0,7.8,49.5,55.0,5.0,1.2335476875305176
78,33,19,1,0,1.0,1.0,-0.5,13.0,1.0,1.284433126449585
80,32,19,0,0,0.0,0.0,0.0,0.0,0.0,0.9436719417572021
82,31,19,2,0,3.0,3.0,3.0,23.0,2.0,1.1632318496704102
84,32,20,2,0,4.0,4.0,2.0,23.0,2.0,1.5599651336669922
86,27,18,1,0,2.0,2.0,-0.5,10.0,1.0,0.7125849723815918
88,25,18,2,0,4.0,4.0,4.5,18.0,2.0,0.5416769981384277
90,24,19,0,0,0.0,0.0,0.0,0.0,0.0,0.5359208583831787
