Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation,Registration Date,Leaving Date
0,School G4,E,['Foreign Language'],[2],[3],1,True,1,0,5,0.5,2,0,N,55,67
1,School M1,B,"['English', 'Physical Education', 'Maths', 'Computer Science']","[2, 3, 3, 2]","[3, 1, 3, 3]",0,False,0,0,8,0.5,2,0,N,11,23
2,School N4,A,['Geography'],[4],[4],0,True,2,0,4,1.0,1,0,N,115,129
3,School S3,D,['History'],[3],[0],0,True,0,0,12,0.5,2,2,advanced,183,199
4,School C4,A,"['English', 'Maths']","[4, 3]","[5, 5]",0,True,1,0,8,2.0,0,0,N,25,42
5,School P3,D,['Economics'],[2],[3],0,True,1,0,11,1.0,0,1,basic,297,312
6,School Y4,D,"['Maths', 'English']","[1, 2]","[5, 5]",2,False,0,0,8,1.5,3,0,N,12,27
7,School G,D,['Physical Education'],[1],[0],0,True,2,0,9,1.0,0,0,N,252,265
8,School Z5,D,"['Geography', 'Science', 'English', 'Art']","[1, 3, 3, 3]","[2, 5, 0, 1]",0,True,1,0,4,2.0,1,0,N,140,156
9,School O6,B,"['History', 'Physical Education', 'Foreign Language', 'English']","[3, 2, 1, 1]","[0, 0, 3, 0]",0,True,2,0,5,0.5,1,0,N,206,218
10,School T,E,"['Economics', 'English']","[2, 2]","[2, 1]",0,True,2,0,11,1.0,0,1,N,168,184
11,School H6,D,"['Physical Education', 'Maths', 'English', 'Foreign Language']","[1, 2, 3, 2]","[0, 4, 1, 3]",0,True,1,0,6,1.0,0,0,N,136,151
12,School S1,B,['Computer Science'],[1],[2],0,False,2,0,8,2.0,1,0,N,169,185
13,School Z4,A,['Economics'],[1],[2],0,True,0,0,11,0.5,0,1,N,195,209
14,School O4,A,['Physical Education'],[3],[3],1,True,0,0,9,1.5,1,0,N,20,35
15,School A6,A,"['History', 'Maths']","[1, 3]","[4, 2]",0,True,2,0,7,1.0,1,0,N,125,137
16,School P3,D,['Economics'],[3],[4],0,True,2,0,11,0.5,0,1,N,38,50
17,School H2,D,"['Foreign Language', 'Maths']","[1, 2]","[1, 5]",1,True,2,0,7,0.5,2,0,N,249,262
18,School C6,A,"['Maths', 'Economics', 'Physical Education', 'History']","[3, 3, 1, 1]","[3, 2, 2, 2]",0,False,0,0,11,0.5,1,1,basic,16,29
19,School U4,C,"['Geography', 'Science', 'English']","[1, 2, 2]","[2, 3, 1]",0,True,2,0,4,1.0,1,0,N,67,78
20,School E5,B,"['Computer Science', 'Physical Education']","[2, 1]","[5, 2]",0,False,2,0,12,0.5,1,2,advanced,213,230
21,School D7,E,['English'],[1],[2],0,True,1,0,8,0.5,1,0,N,227,241
22,School K1,B,"['English', 'Maths', 'Science', 'Physical Education']","[1, 1, 2, 1]","[2, 1, 3, 5]",0,True,1,0,10,0.5,1,0,N,189,205
23,School C6,C,"['Physical Education', 'Foreign Language', 'English']","[4, 2, 2]","[5, 0, 3]",0,True,0,0,7,1.0,1,0,N,41,58
24,School H,C,['English'],[2],[5],1,True,1,0,8,1.0,0,0,N,236,253
25,School E4,A,['Maths'],[1],[1],1,True,1,0,9,1.0,0,0,N,88,104
26,School I3,B,['English'],[1],[0],0,True,0,0,7,1.0,0,0,N,206,219
27,School Y6,E,['Literature'],[1],[1],0,False,2,0,9,0.5,1,0,N,31,44
28,School Y2,B,"['Computer Science', 'Physical Education', 'History']","[3, 2, 4]","[3, 2, 5]",0,True,0,0,12,1.5,0,2,advanced,103,114
29,School G1,C,"['History', 'Literature']","[1, 2]","[0, 2]",0,True,2,0,9,0.5,1,0,N,274,284
30,School D1,C,"['Foreign Language', 'English']","[1, 3]","[4, 5]",1,False,2,0,6,0.5,1,0,N,167,182
31,School W6,B,['Science'],[2],[0],0,True,0,0,10,0.5,1,0,N,255,270
32,School F5,D,['History'],[2],[3],1,True,1,0,5,0.5,2,0,N,106,120
33,School H6,D,['Computer Science'],[1],[1],1,True,2,0,8,1.0,0,0,N,171,183
34,School P3,D,"['Physical Education', 'Economics']","[3, 3]","[1, 4]",0,True,1,0,11,0.5,1,1,N,156,173
35,School X5,E,['English'],[1],[4],0,False,2,0,6,0.5,2,0,N,105,118
36,School Y1,D,"['English', 'Physical Education', 'Economics']","[2, 2, 1]","[5, 4, 2]",0,False,0,0,11,0.5,0,1,basic,49,62
37,School T4,A,['History'],[1],[0],0,True,2,0,9,0.5,0,0,N,164,179
38,School V5,A,"['Maths', 'History']","[2, 1]","[5, 4]",0,True,2,0,12,0.5,2,2,advanced,293,304
39,School K1,B,"['Science', 'Maths']","[1, 1]","[0, 0]",0,True,1,0,10,0.5,0,0,N,178,193
40,School I7,D,"['Physical Education', 'English']","[1, 3]","[4, 3]",0,False,2,0,8,0.5,1,0,N,230,246
41,School R1,A,['History'],[1],[0],0,True,0,0,10,0.5,1,0,N,290,301
42,School X3,A,['Maths'],[2],[5],2,True,1,0,6,0.5,0,0,N,98,111
43,School S7,E,['Maths'],[1],[4],0,True,0,0,8,1.0,0,0,N,149,163
44,School H3,A,['Foreign Language'],[2],[3],2,True,1,0,5,1.5,1,0,N,60,77
45,School A1,E,['Maths'],[2],[2],1,True,0,0,11,1.0,0,1,basic,52,68
46,School G,D,['Physical Education'],[1],[1],1,True,2,0,9,0.5,0,0,N,107,123
47,School C1,E,['English'],[2],[1],0,False,1,0,10,0.5,2,0,N,47,60
48,School T4,A,['History'],[1],[0],0,True,0,0,9,0.5,2,0,N,21,34
49,School C4,A,"['Physical Education', 'History']","[1, 2]","[5, 5]",3,True,2,0,8,0.5,0,0,N,20,32
50,School Q2,A,"['Maths', 'English']","[4, 1]","[0, 3]",0,True,2,0,4,1.5,1,0,N,57,72
51,School E,D,['Physical Education'],[2],[5],0,False,0,0,10,0.5,0,0,N,14,26
52,School N4,D,['Physical Education'],[3],[5],0,False,2,0,10,0.5,1,0,N,135,151
53,School J1,A,['History'],[3],[5],0,True,1,0,12,0.5,2,2,advanced,119,132
54,School L5,E,['Literature'],[2],[3],0,False,0,0,9,2.0,1,0,N,35,52
55,School H6,D,['Computer Science'],[1],[0],0,True,2,0,8,0.5,1,0,N,164,181
56,School O3,B,"['History', 'Maths', 'Foreign Language']","[1, 1, 3]","[0, 0, 1]",0,True,2,0,5,0.5,1,0,N,217,232
57,School X3,C,['Physical Education'],[1],[2],0,False,2,0,12,0.5,0,2,advanced,135,148
58,School S,B,['English'],[2],[3],0,True,0,0,9,0.5,0,0,N,8,21
59,School T5,C,['History'],[2],[1],2,True,2,0,7,1.0,2,0,N,211,226
60,School Q4,D,"['English', 'Foreign Language', 'Physical Education', 'History']","[1, 3, 2, 2]","[3, 0, 2, 4]",0,False,2,0,5,0.5,0,0,N,144,157
61,School H1,C,['Science'],[3],[2],0,False,0,0,10,0.5,1,0,N,96,109
62,School X2,B,"['History', 'English', 'Foreign Language', 'Maths']","[3, 3, 3, 3]","[1, 3, 4, 1]",0,True,2,0,5,1.0,1,0,N,283,301
63,School A3,E,['Maths'],[2],[5],1,False,2,0,10,1.0,1,0,N,224,239
64,School X6,A,['Maths'],[2],[0],0,True,0,0,8,0.5,0,0,N,233,247
65,School J3,E,['English'],[1],[2],0,False,1,0,6,0.5,0,0,N,106,121
66,School M1,B,['History'],[2],[1],2,True,0,0,10,0.5,1,0,N,240,252
67,School T6,A,"['History', 'Physical Education', 'English']","[1, 3, 2]","[5, 0, 3]",3,True,1,0,10,1.0,0,0,N,83,95
68,School K1,B,"['Science', 'Maths', 'Physical Education']","[3, 1, 1]","[5, 2, 5]",2,True,1,0,10,1.0,1,0,N,33,47
69,School V2,B,"['English', 'History', 'Physical Education', 'Maths']","[2, 2, 2, 3]","[0, 2, 0, 0]",0,True,2,0,6,3.0,0,0,N,31,44
70,School S3,A,['Maths'],[1],[5],2,True,2,0,4,1.0,0,0,N,290,305
71,School Q1,D,['Foreign Language'],[3],[4],0,False,0,0,6,0.5,1,0,N,45,60
72,School A7,A,"['Foreign Language', 'Maths', 'English', 'History']","[2, 3, 1, 1]","[3, 3, 4, 5]",0,True,0,0,6,0.5,0,0,N,261,274
73,School X4,E,['Maths'],[1],[0],0,False,0,0,10,1.0,2,0,N,287,302
74,School M,E,['Physical Education'],[1],[5],0,False,2,0,10,0.5,0,0,N,78,91
75,School M7,E,['Science'],[3],[1],0,True,0,0,10,1.0,1,0,N,34,47
76,School G7,E,['English'],[1],[1],0,True,2,0,6,1.0,1,0,N,93,108
77,School H6,D,"['Physical Education', 'Computer Science', 'History']","[3, 2, 2]","[0, 2, 1]",0,True,2,0,8,0.5,1,0,N,111,127
78,School U4,B,"['Foreign Language', 'English']","[1, 4]","[0, 3]",1,False,2,0,7,0.5,0,0,N,30,43
79,School H7,E,"['English', 'Science', 'History']","[2, 1, 3]","[5, 4, 0]",0,True,2,0,10,1.0,0,0,N,107,118
80,School G,D,"['History', 'Physical Education']","[2, 1]","[5, 1]",3,True,2,0,9,0.5,0,0,N,135,146
81,School K1,B,['Physical Education'],[1],[4],1,True,0,0,10,1.0,1,0,N,30,44
82,School G2,E,"['English', 'Science', 'Physical Education', 'Maths']","[4, 4, 1, 1]","[5, 4, 3, 4]",0,True,1,0,10,0.5,1,0,N,4,16
83,School C1,E,['Computer Science'],[3],[1],0,True,1,0,12,0.5,0,2,advanced,129,142
84,School K1,A,['History'],[2],[0],1,True,2,0,7,0.5,0,0,N,182,199
85,School Y3,A,['Literature'],[2],[3],3,True,2,0,9,0.5,0,0,N,96,112
86,School G3,E,['Physical Education'],[1],[4],0,False,1,0,8,1.0,1,0,N,241,255
87,School U1,D,['Geography'],[1],[2],0,False,2,0,4,0.5,1,0,N,48,64
