Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0032699108123779297
7,7,4,0,0,0.0,0.0,0.0,0.0,0.0,0.012469053268432617
14,16,8,10,1,26.0,27.2,42.0,137.0,11.0,0.10518813133239746
21,23,8,5,0,10.0,10.0,11.5,59.0,5.0,0.14073824882507324
28,24,11,4,0,7.0,7.0,20.0,52.0,4.0,0.18072295188903809
35,28,14,10,0,16.0,16.0,28.0,119.0,10.0,0.7592000961303711
42,25,17,10,0,16.0,16.0,35.5,113.0,10.0,0.5825998783111572
49,20,14,3,0,5.0,5.0,18.5,36.0,3.0,0.3795509338378906
56,19,18,3,0,8.0,8.0,12.5,30.0,3.0,0.383073091506958
63,17,16,4,0,6.0,6.0,21.5,44.0,4.0,0.318526029586792
70,20,16,12,0,23.0,23.0,50.0,144.0,12.0,0.5485551357269287
77,20,14,6,0,13.0,13.0,24.5,62.0,4.0,0.2662520408630371
84,18,15,5,0,9.0,9.0,16.5,60.0,4.0,0.31615185737609863
91,13,16,4,0,8.0,8.0,13.0,39.0,3.0,0.18100523948669434
98,13,18,8,0,16.0,16.0,49.0,85.0,6.0,0.17732000350952148
105,16,16,9,0,12.0,12.0,51.5,109.0,8.0,0.24256205558776855
112,19,17,9,0,17.0,17.0,44.0,108.0,9.0,0.24652791023254395
119,29,16,7,0,14.0,14.0,51.0,74.0,7.0,0.5267393589019775
126,26,20,8,0,15.0,15.0,40.0,91.0,7.0,0.6095690727233887
133,21,21,5,0,8.0,8.0,14.5,43.0,5.0,0.5984179973602295
140,18,23,9,0,17.0,17.0,45.5,98.0,7.0,0.3762669563293457
147,21,16,8,0,16.0,16.0,30.5,95.0,8.0,0.325941801071167
154,34,16,9,0,15.0,15.0,54.5,93.0,9.0,0.8167967796325684
161,32,17,9,0,17.0,17.0,42.0,98.0,8.0,0.8659608364105225
168,24,19,7,0,12.0,12.0,24.5,72.0,5.0,0.3583369255065918
175,21,19,6,1,12.0,13.5,54.5,75.0,4.0,0.568134069442749
182,16,18,6,0,10.0,10.0,36.5,61.0,6.0,0.3642408847808838
189,16,14,4,1,10.0,10.8,35.5,72.0,5.0,0.320019006729126
196,18,15,10,0,18.0,18.0,71.5,115.0,10.0,0.2640359401702881
203,27,15,3,0,4.0,4.0,15.0,30.0,3.0,0.3953690528869629
210,20,16,6,1,13.0,13.8,57.0,93.0,7.0,0.22026371955871582
217,23,15,4,0,6.0,6.0,11.5,44.0,4.0,0.32432103157043457
224,20,15,7,0,13.0,13.0,77.0,68.0,6.0,0.38802313804626465
231,19,14,3,0,7.0,7.0,23.5,27.0,3.0,0.32146191596984863
238,15,14,3,0,6.0,6.0,7.0,31.0,3.0,0.2097001075744629
245,21,15,9,0,17.0,17.0,40.0,107.0,9.0,0.5451419353485107
252,17,18,4,0,8.0,8.0,20.0,44.0,4.0,0.36138296127319336
259,17,16,7,0,13.0,13.0,32.5,72.0,7.0,0.24979043006896973
266,18,17,9,0,15.0,15.0,29.0,108.0,8.0,0.44207000732421875
273,20,14,2,0,5.0,5.0,3.0,19.0,2.0,0.1912078857421875
280,19,14,9,0,14.0,14.0,14.5,101.0,8.0,0.2575531005859375
287,24,15,8,0,12.0,12.0,18.5,89.0,8.0,0.599168062210083
294,22,15,5,0,10.0,10.0,17.0,61.0,5.0,0.5081279277801514
