Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,['English'],[5],1,True,5,1,1,3,N,0,1,0.0,132,147
1,"['Physical Education', 'Science']","[5, 4]",3,False,3,3,1,1,N,0,1,0.0,232,246
2,"['English', 'History', 'Music']","[4, 4, 5]",1,True,5,1,N,3,N,0,1,0.0,20,40
3,"['Science', 'Literature', 'Maths', 'Physics']","[4, 4, 5, 5]",3,True,8,1,0,1,N,0,1,0.0,286,306
4,['Biology'],[3],0,False,4,0,N,1,M,1,0,3.0,298,319
5,"['Science', 'Art', 'Music']","[5, 3, 4]",3,False,2,1,1,0,N,0,1,0.0,92,107
6,"['Maths', 'Chemistry', 'Physics']","[5, 5, 2]",1,False,3,0,N,3,N,0,1,0.0,22,43
7,"['Geography', 'Science', 'History']","[3, 5, 4]",1,False,5,0,1,3,N,0,1,0.0,62,82
8,"['English', 'Physics', 'Literature']","[5, 4, 5]",1,True,4,1,N,3,N,0,1,0.0,172,186
9,"['Biology', 'Art', 'Literature']","[2, 3, 2]",0,False,4,0,0,0,N,0,1,0.0,158,174
10,"['Science', 'Biology', 'Literature', 'Maths']","[3, 5, 2, 5]",3,True,4,0,2,3,N,0,1,0.0,134,150
11,['Computer Science'],[4],0,True,1,0,N,1,N,0,1,0.0,250,268
12,"['Science', 'Chemistry']","[5, 5]",0,False,3,0,1,3,N,0,1,0.0,258,275
13,"['Physics', 'Science', 'Music', 'Chemistry']","[5, 4, 2, 2]",3,True,5,0,N,0,N,0,1,0.0,278,294
14,['Biology'],[4],0,False,2,1,0,3,N,0,1,0.0,274,290
15,"['Computer Science', 'Biology', 'Physics', 'Economics']","[4, 4, 3, 4]",1,False,5,0,N,1,N,0,1,0.0,126,144
16,"['Foreign Language', 'Biology', 'Geography', 'English', 'Maths']","[5, 2, 2, 3, 2]",0,True,10,0,2,1,N,0,1,0.0,52,67
17,"['Biology', 'Chemistry', 'Foreign Language']","[3, 5, 5]",1,True,2,1,1,1,N,0,1,0.0,4,20
18,['Computer Science'],[4],1,False,7,0,N,3,N,0,1,0.0,288,302
19,"['History', 'Physics']","[5, 4]",1,True,1,0,2,3,N,0,1,0.0,206,227
20,['Literature'],[3],1,True,4,0,N,0,M,1,0,3.0,106,122
21,"['Chemistry', 'Foreign Language', 'Art']","[5, 4, 5]",1,False,1,0,N,1,N,0,1,0.0,114,132
22,"['Physics', 'Science']","[4, 4]",1,False,2,3,N,0,N,0,1,0.0,8,26
23,['History'],[4],3,True,3,0,N,0,N,0,1,0.0,292,312
24,"['Music', 'History', 'Biology']","[3, 5, 5]",1,False,1,1,N,1,N,0,1,0.0,296,317
25,"['History', 'Economics', 'Music', 'Chemistry', 'Foreign Language']","[3, 4, 3, 4, 4]",0,True,7,0,N,3,N,0,1,0.0,234,250
26,"['Literature', 'Biology', 'Physics']","[5, 3, 3]",1,True,3,0,N,3,N,0,1,0.0,16,35
27,['Physics'],[4],0,False,7,0,N,3,W,1,3,1.5,96,116
28,['English'],[3],3,False,3,0,N,1,S,1,0,4.5,190,211
29,"['Economics', 'English', 'Science']","[2, 5, 4]",0,True,9,3,N,0,N,0,1,0.0,244,258
30,"['History', 'Music']","[3, 2]",1,False,2,1,N,0,N,0,1,0.0,100,118
31,"['Biology', 'Foreign Language', 'Computer Science', 'History']","[4, 4, 4, 3]",1,False,6,1,N,1,N,0,1,0.0,72,91
32,"['Chemistry', 'Computer Science', 'Maths']","[5, 4, 4]",3,False,5,0,N,1,S,1,0,4.5,242,257
33,['Maths'],[5],1,True,5,0,1,3,N,0,1,0.0,252,273
34,"['English', 'Economics', 'Biology', 'Science']","[4, 3, 2, 2]",1,True,4,1,N,3,N,0,1,0.0,176,194
35,['History'],[2],0,True,3,1,N,0,N,0,1,0.0,146,160
36,"['Economics', 'Physics', 'Art', 'Foreign Language']","[3, 4, 4, 3]",1,False,9,1,2,3,S,1,0,4.5,18,38
37,"['Literature', 'Physics', 'Physical Education']","[4, 2, 3]",1,True,2,0,N,3,N,0,1,0.0,212,227
38,"['Music', 'Computer Science', 'English']","[5, 5, 3]",0,True,6,0,2,1,N,0,1,0.0,46,67
39,['Physical Education'],[5],0,True,7,0,1,0,N,0,1,0.0,30,47
40,['Computer Science'],[3],3,False,4,3,N,0,M,1,0,3.0,170,184
41,"['Literature', 'Foreign Language', 'Biology']","[3, 3, 3]",0,True,1,1,N,3,N,0,1,0.0,10,25
42,['Biology'],[2],0,False,9,3,N,1,W,1,3,1.5,32,53
43,"['Computer Science', 'Economics', 'Music', 'History']","[3, 3, 3, 4]",1,True,6,0,N,0,N,0,1,0.0,44,63
44,"['English', 'Music', 'Geography', 'Science', 'Physical Education']","[5, 2, 5, 3, 2]",3,True,7,0,1,3,N,0,1,0.0,256,270
45,['Physical Education'],[5],3,True,6,0,N,1,N,0,1,0.0,86,101
46,"['Music', 'Chemistry']","[2, 5]",3,True,2,1,2,1,N,0,1,0.0,130,146
47,"['Physics', 'English', 'Literature']","[5, 4, 5]",3,False,1,0,N,3,N,0,1,0.0,294,312
48,"['Biology', 'English', 'Economics', 'Geography', 'History']","[5, 5, 4, 2, 5]",0,False,9,1,N,0,N,0,1,0.0,160,181
49,['Music'],[2],0,False,1,0,0,1,N,0,1,0.0,284,302
50,['Literature'],[4],1,True,6,0,N,3,N,0,1,0.0,14,31
51,"['Literature', 'Biology', 'Computer Science', 'Economics']","[3, 4, 3, 5]",1,True,4,0,1,3,N,0,1,0.0,138,159
