Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation,Registration Date,Leaving Date
0,School S3,D,"['Maths', 'English']","[2, 1]","[1, 0]",0,True,1,0,6,1.0,0,0,N,115,130
1,School P7,D,['Physical Education'],[2],[5],1,True,2,0,5,1.0,0,0,N,5,18
2,School Z5,C,['Maths'],[2],[1],0,False,2,0,7,1.0,1,0,N,34,47
3,School N1,C,"['Science', 'Maths']","[3, 2]","[0, 4]",0,True,1,0,4,1.5,1,0,N,131,145
4,School N6,C,['History'],[2],[0],1,False,0,0,5,1.0,1,0,N,137,150
5,School C6,E,"['History', 'Computer Science']","[3, 2]","[4, 1]",0,False,1,0,12,0.5,0,2,advanced,48,62
6,School M2,A,['English'],[3],[3],2,False,1,0,5,0.5,2,0,N,276,286
7,School Y3,B,"['Maths', 'Physical Education']","[1, 3]","[4, 4]",1,True,2,0,9,0.5,2,0,N,278,290
8,School Z5,D,['Physical Education'],[2],[5],0,False,2,0,11,0.5,1,1,basic,188,206
9,School B1,A,['Literature'],[2],[3],0,False,2,0,9,1.5,2,0,N,162,176
10,School G5,B,"['English', 'Foreign Language', 'Maths', 'History']","[2, 2, 1, 1]","[1, 5, 3, 2]",0,True,1,0,6,0.5,0,0,N,35,49
11,School T6,B,['Physical Education'],[2],[5],0,False,0,0,9,1.5,0,0,N,297,312
12,School Q3,D,"['Maths', 'Science', 'English']","[1, 1, 3]","[4, 2, 0]",1,False,0,0,4,0.5,1,0,N,1,14
13,School H2,E,['English'],[2],[2],0,True,0,0,12,0.5,2,2,advanced,221,235
14,School I,B,"['Maths', 'Literature']","[2, 3]","[4, 1]",3,False,2,0,9,1.5,1,0,N,101,117
15,School R4,D,['Literature'],[1],[2],1,True,1,0,9,1.0,0,0,N,99,113
16,School V,E,"['Maths', 'Physical Education']","[2, 3]","[5, 3]",0,True,1,0,11,1.0,1,1,advanced,262,277
17,School Z4,C,['Foreign Language'],[2],[2],0,True,1,0,7,0.5,1,0,N,129,140
18,School N1,B,['Physical Education'],[4],[0],2,True,2,0,6,0.5,1,0,N,70,84
19,School I7,C,['Maths'],[1],[2],0,True,1,0,9,1.0,1,0,N,53,64
20,School K6,B,"['English', 'Foreign Language', 'History', 'Physical Education']","[3, 1, 1, 3]","[5, 4, 3, 4]",3,True,0,0,6,0.5,0,0,N,296,310
21,School U3,C,['History'],[1],[3],1,True,0,0,5,0.5,1,0,N,28,42
22,School Z6,A,['English'],[4],[4],0,False,0,0,5,0.5,3,0,N,124,134
23,School G2,B,"['English', 'History']","[2, 2]","[1, 1]",0,True,2,0,12,0.5,1,2,advanced,267,285
24,School P7,B,"['Science', 'History', 'English']","[3, 1, 1]","[2, 5, 1]",0,False,2,0,10,1.0,0,0,N,23,37
25,School Y,C,['Maths'],[2],[3],2,False,0,0,5,0.5,0,0,N,13,25
26,School L7,E,['Economics'],[4],[4],0,True,1,0,11,0.5,2,1,N,191,203
27,School C2,A,['History'],[1],[5],0,True,2,0,6,1.0,1,0,N,281,295
28,School H2,B,['Computer Science'],[4],[1],1,True,0,0,12,0.5,0,2,advanced,64,76
29,School B1,C,"['History', 'Physical Education']","[3, 3]","[2, 4]",0,True,2,0,8,1.0,0,0,N,146,165
30,School J5,C,"['History', 'English']","[2, 3]","[2, 2]",0,True,0,0,12,1.0,1,2,advanced,206,221
31,School G4,A,['Foreign Language'],[4],[3],0,True,0,0,5,0.5,1,0,N,270,283
32,School L,B,['Maths'],[2],[0],0,False,1,0,4,1.0,1,0,N,59,72
33,School F4,E,['Foreign Language'],[3],[5],1,True,2,0,5,1.0,0,0,N,177,193
34,School U2,D,['English'],[1],[1],1,False,2,0,8,1.5,1,0,N,3,16
35,School O7,C,['History'],[1],[0],3,True,1,0,12,1.0,1,2,advanced,14,29
36,School G,C,['History'],[1],[1],0,True,1,0,9,0.5,1,0,N,150,163
37,School Y,A,"['Maths', 'Physical Education']","[1, 2]","[3, 3]",1,True,0,0,10,0.5,0,0,N,255,273
38,School D6,E,['Art'],[1],[2],2,True,1,0,4,0.5,2,0,N,104,118
39,School C,B,['Economics'],[2],[5],0,False,1,0,11,0.5,1,1,advanced,184,199
40,School J2,B,['History'],[1],[5],0,True,1,0,8,0.5,2,0,N,23,35
41,School O7,C,['Geography'],[3],[3],3,False,1,0,4,1.5,0,0,N,283,296
42,School M1,D,['Physical Education'],[1],[3],0,False,2,0,8,1.0,0,0,N,95,108
43,School O5,C,"['Maths', 'Science']","[1, 3]","[3, 3]",0,True,0,0,4,0.5,0,0,N,62,75
44,School H4,B,"['English', 'Maths', 'Physical Education', 'Computer Science']","[2, 1, 3, 2]","[5, 4, 1, 3]",1,False,0,0,8,1.0,0,0,N,71,86
45,School V,A,"['History', 'Maths']","[2, 3]","[4, 5]",0,True,1,0,8,0.5,1,0,N,8,19
46,School S3,D,"['History', 'English', 'Foreign Language']","[1, 1, 2]","[2, 0, 4]",2,True,0,0,6,0.5,2,0,N,119,129
47,School O,E,['Physical Education'],[2],[1],0,True,2,0,12,0.5,0,2,advanced,186,201
48,School V,C,['Science'],[4],[4],3,True,1,0,10,1.0,0,0,N,269,283
49,School K5,B,"['History', 'Maths']","[1, 2]","[1, 5]",0,True,1,0,6,0.5,1,0,N,21,34
50,School P5,C,"['Art', 'Science', 'English']","[1, 2, 3]","[4, 2, 5]",1,True,2,0,4,1.0,1,0,N,206,222
51,School U4,C,"['Computer Science', 'Maths']","[1, 3]","[3, 4]",1,True,1,0,8,1.5,1,0,N,8,23
52,School X4,C,['Maths'],[2],[0],0,True,2,0,5,1.0,0,0,N,162,175
