Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
7,6,4,3,0,6.0,6.0,39.0,38.0,3.0,0.016691923141479492
14,13,8,5,0,15.0,15.0,35.5,60.0,5.0,0.06276607513427734
21,22,10,4,0,6.0,6.0,17.0,48.0,4.0,0.21460819244384766
28,21,14,3,0,5.0,5.0,12.5,35.0,3.0,0.30991101264953613
35,13,15,3,0,6.0,6.0,12.5,35.0,3.0,0.13771414756774902
42,11,16,9,0,17.0,17.0,43.0,98.0,5.0,0.14755988121032715
49,16,16,12,0,24.0,24.0,47.0,135.0,10.0,0.23857522010803223
56,24,18,14,1,30.0,31.2,66.0,170.0,16.0,0.35247206687927246
63,28,18,10,1,18.0,18.8,37.5,142.0,10.0,0.6333351135253906
70,29,21,10,0,16.0,16.0,33.5,101.0,8.0,0.696382999420166
77,23,22,7,0,12.0,12.0,21.0,70.0,7.0,0.6159632205963135
84,21,21,6,0,14.0,14.0,22.5,65.0,6.0,0.5751512050628662
91,24,18,6,0,7.0,7.0,47.0,67.0,6.0,0.7718541622161865
98,22,18,8,0,17.0,17.0,43.5,88.0,8.0,0.69443678855896
105,28,17,5,0,9.0,9.0,14.5,46.0,5.0,1.0492522716522217
112,26,18,9,0,15.0,15.0,36.0,92.0,9.0,0.7828061580657959
119,23,17,4,0,8.0,8.0,14.5,45.0,4.0,0.5445408821105957
126,18,19,9,0,17.0,17.0,37.5,87.0,9.0,0.44039392471313477
133,23,14,4,0,8.0,8.0,10.0,40.0,4.0,0.3032820224761963
140,21,13,5,0,11.0,11.0,33.5,65.0,5.0,0.21752524375915527
147,20,13,9,0,18.0,18.0,42.5,103.0,8.0,0.24969911575317383
154,19,15,4,1,9.0,9.8,12.5,71.0,5.0,0.2825469970703125
161,27,14,4,1,8.0,8.8,24.5,69.0,6.0,0.4170520305633545
168,26,15,3,0,9.0,9.0,19.5,36.0,3.0,0.3352060317993164
175,23,15,7,0,13.0,13.0,47.0,75.0,6.0,0.2777981758117676
182,21,16,7,1,18.0,20.2,35.5,108.0,9.0,0.5717189311981201
189,20,15,4,0,8.0,8.0,11.0,40.0,4.0,0.4600391387939453
196,22,17,8,0,14.0,14.0,33.5,91.0,6.0,0.6636569499969482
203,19,17,5,1,9.0,9.8,16.0,82.0,7.0,0.48900389671325684
210,29,17,8,1,19.0,19.8,54.5,113.0,9.0,1.4369900226593018
217,28,17,10,1,19.0,21.2,63.5,120.0,10.0,1.2802863121032715
224,21,19,3,0,5.0,5.0,9.0,34.0,3.0,1.3114891052246094
231,21,18,2,0,4.0,4.0,4.5,23.0,2.0,0.8868720531463623
238,17,18,5,0,8.0,8.0,15.5,52.0,5.0,0.6616151332855225
245,22,15,12,0,21.0,21.0,41.5,120.0,12.0,0.3654170036315918
252,23,17,11,0,22.0,22.0,39.0,127.0,10.0,0.453139066696167
259,24,17,5,0,10.0,10.0,16.0,58.0,5.0,0.34546494483947754
266,19,19,6,0,11.0,11.0,19.5,64.0,6.0,0.25018310546875
273,14,17,7,0,10.0,10.0,37.5,78.0,5.0,0.20140981674194336
280,17,19,6,0,10.0,10.0,35.5,74.0,6.0,0.4721999168395996
287,19,19,3,0,5.0,5.0,30.5,35.0,2.0,0.43099379539489746
294,17,18,5,0,11.0,11.0,15.5,57.0,5.0,0.27436208724975586
