Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
14,12,8,14,0,30.0,30.0,70.0,159.0,10.0,0.07752704620361328
28,20,15,10,0,21.0,21.0,65.5,103.0,10.0,0.2731947898864746
42,22,13,12,0,23.0,23.0,89.0,134.0,10.0,0.312053918838501
56,14,16,13,0,27.0,27.0,77.5,136.0,10.0,0.18813085556030273
70,18,18,17,1,37.0,37.8,67.0,215.0,14.0,0.45860791206359863
84,20,16,11,1,20.0,20.5,48.5,144.0,11.0,0.3339400291442871
98,18,17,11,0,21.0,21.0,36.5,112.0,7.0,0.4328188896179199
112,16,16,5,0,8.0,8.0,20.0,56.0,5.0,0.33736395835876465
126,21,12,18,1,36.0,37.9,87.5,206.0,17.0,0.3462488651275635
140,26,15,10,1,22.0,23.5,53.5,125.0,10.0,0.6414108276367188
154,22,15,12,4,37.0,47.3,85.5,214.0,16.0,0.6054379940032959
168,16,17,8,0,15.0,15.0,16.0,88.0,7.0,0.40393972396850586
182,24,15,15,1,30.0,31.2,64.0,193.0,16.0,0.9473621845245361
196,23,15,6,2,19.0,28.4,70.5,126.0,9.0,0.6013402938842773
210,16,15,8,0,13.0,13.0,40.0,97.0,7.0,0.30558180809020996
224,15,13,7,1,12.0,12.1,37.0,104.0,9.0,0.1750810146331787
238,18,15,8,1,15.0,15.8,32.5,105.0,7.0,0.34584593772888184
252,25,12,15,2,33.0,35.0,92.5,187.0,15.0,0.7448980808258057
266,19,15,11,1,23.0,23.8,60.0,125.0,10.0,0.41748809814453125
280,26,16,14,1,28.0,28.5,106.5,167.0,14.0,0.612678050994873
294,19,17,11,1,24.0,24.8,95.5,135.0,12.0,0.30248188972473145
