Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0033159255981445312
7,9,4,4,0,9.0,9.0,40.0,44.0,4.0,0.025807857513427734
14,19,8,3,1,8.0,8.5,57.0,60.0,5.0,0.17386078834533691
21,24,11,4,0,7.0,7.0,21.5,41.0,4.0,0.40042877197265625
28,21,13,8,0,13.0,13.0,19.5,92.0,7.0,0.34897494316101074
35,21,14,8,0,14.0,14.0,40.0,76.0,6.0,0.41727113723754883
42,17,15,3,0,4.0,4.0,7.5,37.0,2.0,0.4091529846191406
49,17,16,4,0,7.0,7.0,17.5,43.0,4.0,0.26900506019592285
56,17,18,4,0,9.0,9.0,20.5,43.0,4.0,0.4418339729309082
63,18,18,6,1,10.0,10.8,35.5,86.0,7.0,0.5781488418579102
70,17,17,12,0,20.0,20.0,38.0,133.0,9.0,0.44195103645324707
77,21,14,5,1,8.0,8.8,22.0,78.0,7.0,0.3995399475097656
84,21,16,10,0,15.0,15.0,63.0,103.0,7.0,0.440004825592041
91,19,17,7,0,10.0,10.0,27.5,65.0,7.0,0.5671570301055908
98,22,19,7,1,16.0,17.2,42.5,80.0,7.0,0.8889458179473877
105,22,19,5,0,8.0,8.0,23.0,52.0,4.0,0.8122861385345459
112,20,18,8,0,17.0,17.0,29.5,85.0,8.0,0.7036359310150146
119,25,17,7,0,10.0,10.0,47.0,71.0,7.0,1.0044679641723633
126,20,17,10,1,19.0,19.8,84.0,140.0,10.0,0.36638307571411133
133,23,17,1,0,1.0,1.0,2.0,12.0,1.0,0.45142602920532227
140,19,18,5,0,8.0,8.0,26.5,52.0,5.0,0.2768702507019043
147,11,16,4,0,9.0,9.0,45.0,43.0,3.0,0.11212873458862305
154,17,15,9,0,18.0,18.0,48.0,100.0,8.0,0.24038195610046387
161,27,15,8,0,13.0,13.0,49.0,77.0,7.0,0.4119701385498047
168,26,17,1,0,2.0,2.0,13.0,9.0,1.0,0.3323698043823242
175,21,18,1,0,3.0,3.0,4.0,13.0,1.0,0.3209850788116455
182,16,16,2,0,4.0,4.0,2.5,20.0,2.0,0.21561908721923828
189,18,14,6,0,12.0,12.0,7.5,57.0,6.0,0.259746789932251
196,16,12,10,0,17.0,17.0,38.5,127.0,9.0,0.15592074394226074
203,25,14,5,0,7.0,7.0,57.0,59.0,5.0,0.5317010879516602
210,22,15,7,0,14.0,14.0,19.0,76.0,7.0,0.383573055267334
217,19,16,10,0,17.0,17.0,32.0,98.0,9.0,0.14950871467590332
224,23,15,6,1,11.0,11.8,41.5,82.0,5.0,0.2888147830963135
231,22,14,3,0,6.0,6.0,8.5,34.0,3.0,0.19430017471313477
238,19,17,11,0,23.0,23.0,36.5,123.0,10.0,0.21587514877319336
245,24,17,9,1,15.0,15.8,55.5,125.0,9.0,0.36383891105651855
252,24,16,9,0,18.0,18.0,60.5,93.0,8.0,0.33008384704589844
259,27,16,6,0,9.0,9.0,35.0,51.0,6.0,0.6145989894866943
266,27,17,6,0,11.0,11.0,23.0,75.0,6.0,0.6524031162261963
273,20,17,6,0,12.0,12.0,36.0,69.0,5.0,0.37583017349243164
280,16,17,7,0,13.0,13.0,30.0,58.0,7.0,0.11983489990234375
287,19,18,4,0,7.0,7.0,17.0,40.0,4.0,0.17588019371032715
294,16,16,5,0,10.0,10.0,17.5,47.0,4.0,0.1586916446685791
