Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.018795013427734375
2,4,2,3,0,6.0,6.0,30.5,33.0,3.0,0.014365196228027344
4,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.012234926223754883
6,6,4,2,0,4.0,4.0,31.0,22.0,1.0,0.025873899459838867
8,8,5,2,0,3.0,3.0,11.0,23.0,1.0,0.04458904266357422
10,10,6,0,0,0.0,0.0,0.0,0.0,0.0,0.08004093170166016
12,10,7,1,2,6.0,6.199999999999999,24.0,50.0,5.0,0.13655996322631836
14,11,8,4,0,6.0,6.0,26.5,47.0,4.0,0.15552091598510742
16,13,9,1,0,3.0,3.0,0.5,13.0,1.0,0.19117307662963867
18,15,10,0,0,0.0,0.0,0.0,0.0,0.0,0.22063899040222168
20,19,11,2,0,3.0,3.0,11.0,19.0,2.0,0.2809579372406006
22,23,12,3,0,4.0,4.0,8.5,39.0,3.0,0.4514479637145996
24,23,13,1,1,4.0,4.8,9.5,36.0,3.0,0.596254825592041
26,26,12,2,1,6.0,8.6,18.5,39.0,4.0,0.8155350685119629
28,27,13,1,0,1.0,1.0,8.0,10.0,1.0,0.9253900051116943
30,32,14,2,0,2.0,2.0,11.5,22.0,2.0,1.3685529232025146
32,33,15,0,0,0.0,0.0,0.0,0.0,0.0,1.321671962738037
34,30,16,0,0,0.0,0.0,0.0,0.0,0.0,1.226714849472046
36,28,14,1,0,1.0,1.0,3.5,9.0,1.0,0.8660669326782227
38,25,15,4,0,6.0,6.0,45.5,51.0,4.0,0.651799201965332
40,23,16,3,0,3.0,3.0,12.0,35.0,3.0,0.6438629627227783
42,21,17,0,0,0.0,0.0,0.0,0.0,0.0,0.47511720657348633
44,20,17,2,0,3.0,3.0,5.5,26.0,2.0,0.390239953994751
46,18,17,2,0,4.0,4.0,8.5,19.0,2.0,0.36258411407470703
48,14,18,0,0,0.0,0.0,0.0,0.0,0.0,0.28324389457702637
50,13,19,2,0,6.0,6.0,7.5,16.0,2.0,0.28067827224731445
52,14,19,0,0,0.0,0.0,0.0,0.0,0.0,0.2925739288330078
54,13,20,0,0,0.0,0.0,0.0,0.0,0.0,0.20465397834777832
56,14,17,1,0,3.0,3.0,4.5,11.0,1.0,0.16732287406921387
58,14,18,1,0,1.0,1.0,3.5,13.0,1.0,0.18664193153381348
60,16,15,4,0,6.0,6.0,41.0,36.0,3.0,0.16342401504516602
62,17,16,2,0,3.0,3.0,4.0,23.0,1.0,0.23843097686767578
64,21,16,4,0,6.0,6.0,15.0,45.0,3.0,0.4529991149902344
66,23,15,4,0,6.0,6.0,18.0,43.0,4.0,0.6046702861785889
68,22,15,2,0,3.0,3.0,34.5,25.0,2.0,0.49581122398376465
70,25,16,3,0,5.0,5.0,2.5,30.0,2.0,0.6101341247558594
72,25,16,0,2,4.0,8.4,12.5,52.0,4.0,0.5925412178039551
74,24,16,0,0,0.0,0.0,0.0,0.0,0.0,0.4827847480773926
76,23,16,2,0,2.0,2.0,9.5,24.0,2.0,0.37304210662841797
78,20,17,1,0,1.0,1.0,-0.5,13.0,1.0,0.4039957523345947
80,19,18,0,0,0.0,0.0,0.0,0.0,0.0,0.4293990135192871
82,16,19,0,0,0.0,0.0,0.0,0.0,0.0,0.32053565979003906
84,15,20,3,0,5.0,5.0,6.5,37.0,3.0,0.2406308650970459
86,19,20,3,0,9.0,9.0,10.0,33.0,3.0,0.3738090991973877
88,20,20,5,0,8.0,8.0,29.0,60.0,5.0,0.5688149929046631
90,24,19,1,0,2.0,2.0,6.0,10.0,1.0,0.5611677169799805
92,26,19,3,1,7.0,7.8,21.5,49.0,5.0,0.9081528186798096
94,28,18,3,0,6.0,6.0,11.5,34.0,3.0,1.045734167098999
96,28,17,3,0,6.0,6.0,14.5,38.0,3.0,1.0534710884094238
98,29,18,0,0,0.0,0.0,0.0,0.0,0.0,1.1897499561309814
100,30,18,1,1,5.0,6.5,9.5,34.0,3.0,1.6182029247283936
102,28,19,2,0,4.0,4.0,3.5,20.0,2.0,1.3153131008148193
104,30,19,1,1,6.0,6.5,8.5,36.0,3.0,1.6819989681243896
106,27,20,0,0,0.0,0.0,0.0,0.0,0.0,1.3578009605407715
108,26,20,2,0,3.0,3.0,6.5,19.0,2.0,1.13881516456604
110,25,20,1,0,1.0,1.0,2.0,12.0,1.0,1.1871337890625
112,22,18,5,0,5.0,5.0,19.5,52.0,5.0,0.9187042713165283
114,21,16,2,0,4.0,4.0,4.0,21.0,2.0,0.7106659412384033
116,19,17,0,0,0.0,0.0,0.0,0.0,0.0,0.7929177284240723
118,17,16,2,0,3.0,3.0,6.0,22.0,2.0,0.3595569133758545
120,19,17,3,0,3.0,3.0,24.5,34.0,3.0,0.5586941242218018
122,20,16,0,0,0.0,0.0,0.0,0.0,0.0,0.6586132049560547
124,20,15,0,0,0.0,0.0,0.0,0.0,0.0,0.634911060333252
126,18,15,0,0,0.0,0.0,0.0,0.0,0.0,0.5439009666442871
128,18,15,4,0,7.0,7.0,13.5,33.0,4.0,0.523514986038208
130,20,16,4,0,9.0,9.0,17.5,40.0,4.0,0.5476779937744141
132,19,16,3,0,6.0,6.0,12.5,30.0,3.0,0.6267702579498291
134,19,15,3,0,5.0,5.0,16.5,34.0,3.0,0.5386447906494141
136,17,14,0,0,0.0,0.0,0.0,0.0,0.0,0.36259984970092773
138,17,15,0,0,0.0,0.0,0.0,0.0,0.0,0.43237900733947754
140,17,15,2,0,3.0,3.0,5.5,26.0,2.0,0.46673583984375
142,17,15,2,0,4.0,4.0,3.5,21.0,2.0,0.4091620445251465
