Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
2,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.004682064056396484
4,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.008911848068237305
6,7,4,6,0,12.0,12.0,35.5,64.0,4.0,0.03132486343383789
8,7,5,1,0,1.0,1.0,2.5,12.0,1.0,0.038826942443847656
10,9,6,2,0,4.0,4.0,10.5,21.0,2.0,0.06509995460510254
12,12,7,1,2,7.0,7.999999999999999,11.0,57.0,5.0,0.11930704116821289
14,15,8,2,1,5.0,5.8,17.5,46.0,4.0,0.19214606285095215
16,17,8,2,0,4.0,4.0,9.0,20.0,2.0,0.20289206504821777
18,18,9,3,0,3.0,3.0,21.5,39.0,3.0,0.27396702766418457
20,22,10,4,0,6.0,6.0,25.0,44.0,4.0,0.40584492683410645
22,23,10,2,0,3.0,3.0,4.0,25.0,2.0,0.41909193992614746
24,24,11,0,0,0.0,0.0,0.0,0.0,0.0,0.43476366996765137
26,23,12,1,0,3.0,3.0,2.5,13.0,1.0,0.39244794845581055
28,24,13,1,0,2.0,2.0,4.0,12.0,1.0,0.6136479377746582
30,27,14,1,0,3.0,3.0,2.5,10.0,1.0,0.7817130088806152
32,30,14,2,0,6.0,6.0,10.0,18.0,2.0,0.9024100303649902
34,30,15,2,0,3.0,3.0,3.0,24.0,2.0,0.8838448524475098
36,28,16,5,0,9.0,9.0,13.0,60.0,5.0,0.9623730182647705
38,26,17,3,0,6.0,6.0,14.0,36.0,3.0,0.8141870498657227
40,26,18,1,0,1.0,1.0,5.5,12.0,1.0,0.9625260829925537
42,24,18,2,0,3.0,3.0,8.5,25.0,2.0,0.6739168167114258
44,23,17,2,0,3.0,3.0,0.0,24.0,2.0,0.6078829765319824
46,21,17,3,0,6.0,6.0,17.0,37.0,3.0,0.47017407417297363
48,21,17,2,0,5.0,5.0,16.0,25.0,1.0,0.4463942050933838
50,20,16,1,0,1.0,1.0,3.0,13.0,1.0,0.3502838611602783
52,22,17,2,0,4.0,4.0,19.5,23.0,2.0,0.37311816215515137
54,18,17,0,0,0.0,0.0,0.0,0.0,0.0,0.20785999298095703
56,20,17,1,0,2.0,2.0,1.0,10.0,1.0,0.23610806465148926
58,22,18,6,0,11.0,11.0,25.5,67.0,6.0,0.275454044342041
60,23,16,1,0,3.0,3.0,7.5,13.0,1.0,0.23236894607543945
62,24,16,2,0,2.0,2.0,4.0,22.0,2.0,0.24659204483032227
64,26,16,4,0,9.0,9.0,22.0,45.0,4.0,0.23580622673034668
66,25,16,1,0,1.0,1.0,5.0,13.0,1.0,0.21812725067138672
68,26,16,1,0,1.0,1.0,3.5,10.0,1.0,0.259052038192749
70,24,14,0,0,0.0,0.0,0.0,0.0,0.0,0.2900238037109375
72,26,15,4,0,9.0,9.0,8.5,48.0,4.0,0.4774668216705322
74,30,15,5,0,9.0,9.0,29.5,51.0,5.0,0.8016071319580078
76,29,15,4,0,7.0,7.0,23.5,50.0,4.0,0.770104169845581
78,27,16,1,0,1.0,1.0,11.5,9.0,1.0,0.8231918811798096
80,26,17,1,0,2.0,2.0,3.5,13.0,1.0,0.7288861274719238
82,23,18,0,0,0.0,0.0,0.0,0.0,0.0,0.639049768447876
84,26,19,5,1,10.0,10.8,39.5,68.0,5.0,0.8827807903289795
86,25,18,2,0,5.0,5.0,5.5,22.0,2.0,0.7981698513031006
88,23,19,0,0,0.0,0.0,0.0,0.0,0.0,0.5275769233703613
90,24,20,2,0,4.0,4.0,20.5,20.0,2.0,0.7387845516204834
92,22,19,2,0,2.0,2.0,7.0,20.0,2.0,0.5055680274963379
94,19,17,2,1,6.0,6.8,23.0,44.0,4.0,0.3612489700317383
96,18,18,2,0,5.0,5.0,4.0,22.0,2.0,0.34557271003723145
98,18,19,0,0,0.0,0.0,0.0,0.0,0.0,0.46233105659484863
100,20,19,2,0,5.0,5.0,7.0,25.0,2.0,0.44992613792419434
102,20,20,2,0,3.0,3.0,6.5,26.0,2.0,0.44434404373168945
104,19,19,2,0,3.0,3.0,8.5,24.0,2.0,0.3808000087738037
106,20,19,2,0,2.0,2.0,17.5,21.0,1.0,0.3760261535644531
108,21,18,1,0,1.0,1.0,1.5,13.0,1.0,0.27373576164245605
110,21,19,3,0,6.0,6.0,15.5,36.0,3.0,0.34725093841552734
112,16,20,0,0,0.0,0.0,0.0,0.0,0.0,0.22896909713745117
114,18,18,4,0,7.0,7.0,6.0,43.0,3.0,0.21554183959960938
116,17,19,2,0,3.0,3.0,6.0,12.0,1.0,0.19586706161499023
118,19,16,3,0,7.0,7.0,14.5,30.0,3.0,0.2192080020904541
120,18,17,2,0,2.0,2.0,6.0,22.0,2.0,0.22430992126464844
122,21,17,3,0,6.0,6.0,17.5,30.0,3.0,0.24230194091796875
124,19,18,3,0,4.0,4.0,25.5,31.0,3.0,0.2927417755126953
126,20,16,1,0,1.0,1.0,0.5,10.0,1.0,0.2557559013366699
128,22,17,2,0,5.0,5.0,8.5,25.0,2.0,0.28986692428588867
130,25,18,4,0,7.0,7.0,15.5,45.0,3.0,0.5104289054870605
132,26,17,2,0,3.0,3.0,11.5,25.0,2.0,0.561474084854126
134,29,18,1,0,3.0,3.0,0.5,10.0,1.0,0.7403502464294434
136,29,19,3,0,5.0,5.0,11.5,27.0,3.0,0.8533639907836914
138,28,19,1,0,1.0,1.0,0.5,13.0,1.0,0.7802650928497314
140,30,19,0,0,0.0,0.0,0.0,0.0,0.0,0.8088479042053223
142,30,18,2,0,3.0,3.0,13.0,24.0,2.0,0.8375539779663086
144,30,18,4,0,5.0,5.0,19.0,44.0,4.0,0.7015480995178223
146,28,19,4,1,7.0,7.1,20.0,62.0,5.0,0.752255916595459
148,27,19,3,1,10.0,10.8,12.5,44.0,5.0,0.9806442260742188
150,27,19,3,1,9.0,9.1,28.0,58.0,5.0,1.3262829780578613
152,29,20,1,0,1.0,1.0,4.0,11.0,1.0,1.4559650421142578
154,26,20,5,1,10.0,10.8,42.0,72.0,7.0,1.2442760467529297
156,23,18,6,0,10.0,10.0,23.0,50.0,5.0,1.2045650482177734
158,29,18,3,0,6.0,6.0,5.5,29.0,3.0,1.834939956665039
160,33,18,4,0,7.0,7.0,20.0,48.0,4.0,2.209670066833496
162,35,17,4,0,7.0,7.0,14.0,44.0,4.0,2.582195997238159
164,36,18,1,0,1.0,1.0,29.5,8.0,1.0,2.905930995941162
166,31,19,0,0,0.0,0.0,0.0,0.0,0.0,2.1740269660949707
168,31,19,2,1,4.0,4.8,14.0,38.0,4.0,2.184260129928589
170,29,20,2,0,4.0,4.0,13.5,23.0,2.0,2.0144269466400146
172,31,21,5,0,7.0,7.0,19.0,60.0,5.0,2.4751689434051514
174,29,22,0,0,0.0,0.0,0.0,0.0,0.0,2.3103432655334473
176,28,22,1,1,5.0,5.8,6.0,36.0,3.0,1.9668910503387451
178,25,21,6,0,7.0,7.0,20.5,65.0,6.0,1.5357649326324463
180,27,21,5,0,9.0,9.0,25.5,53.0,4.0,1.6417529582977295
182,25,20,0,0,0.0,0.0,0.0,0.0,0.0,1.27317214012146
184,25,21,4,0,6.0,6.0,19.0,48.0,4.0,1.145301103591919
