Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,"['Maths', 'Chemistry']","[3, 2]",3,True,4,0,N,3,N,0,1,0.0,274,292
1,"['Science', 'History', 'Chemistry']","[2, 3, 4]",3,True,6,1,1,3,M,1,0,3.0,260,275
2,"['Foreign Language', 'Science']","[3, 5]",3,False,7,1,2,0,N,0,1,0.0,66,86
3,"['Art', 'Physics', 'Computer Science']","[5, 3, 5]",1,False,4,3,2,3,N,0,1,0.0,40,58
4,"['History', 'Foreign Language']","[2, 2]",1,False,5,0,0,3,W,1,3,1.5,212,232
5,['Geography'],[3],1,False,3,0,N,0,N,0,1,0.0,160,181
6,['Physics'],[3],0,False,5,1,N,1,N,0,1,0.0,42,58
7,['Physical Education'],[5],3,False,4,1,N,1,M,1,0,3.0,16,35
8,['Music'],[2],1,False,1,3,1,0,N,0,1,0.0,262,277
9,"['Art', 'Geography', 'Literature', 'Computer Science', 'Biology']","[5, 4, 3, 2, 3]",0,True,7,0,2,0,N,0,1,0.0,276,293
10,['Economics'],[5],1,True,6,1,2,0,N,0,1,0.0,22,38
11,"['Biology', 'Physical Education', 'Art', 'Computer Science']","[3, 5, 3, 2]",1,True,6,0,N,0,N,0,1,0.0,118,138
12,"['Biology', 'Chemistry', 'Music', 'Physical Education']","[3, 3, 3, 4]",0,True,6,1,1,3,N,0,1,0.0,264,284
13,"['History', 'Geography']","[2, 5]",1,False,5,3,1,1,N,0,1,0.0,38,54
14,"['Biology', 'English', 'Economics']","[3, 4, 4]",0,False,2,1,N,0,N,0,1,0.0,76,97
15,"['Foreign Language', 'Physics', 'Literature']","[5, 5, 5]",1,True,3,1,N,1,N,0,1,0.0,6,21
16,"['Music', 'Chemistry', 'Computer Science', 'Geography', 'Physical Education']","[3, 3, 2, 3, 3]",3,False,8,0,2,0,N,0,1,0.0,128,143
17,"['Biology', 'Art']","[5, 3]",1,True,4,3,N,1,N,0,1,0.0,104,124
18,"['Economics', 'Foreign Language', 'Geography']","[5, 4, 2]",0,False,1,0,N,0,N,0,1,0.0,24,42
19,['Physical Education'],[5],1,False,6,1,N,0,N,0,1,0.0,156,174
20,"['Science', 'Physics', 'Foreign Language', 'Literature', 'Chemistry']","[5, 5, 2, 4, 2]",3,True,7,3,N,1,N,0,1,0.0,230,250
21,"['Economics', 'Computer Science', 'Physical Education']","[4, 5, 4]",0,True,3,1,N,1,N,0,1,0.0,54,69
22,"['Physical Education', 'Maths', 'Physics']","[5, 5, 4]",3,True,1,1,1,1,N,0,1,0.0,90,108
23,"['Chemistry', 'Literature']","[4, 2]",0,True,9,0,N,0,N,0,1,0.0,34,51
24,"['Music', 'English']","[3, 2]",3,False,6,3,N,3,N,0,1,0.0,14,34
25,"['Chemistry', 'Physical Education']","[4, 2]",1,True,3,0,N,1,N,0,1,0.0,20,39
26,"['Art', 'Physics']","[4, 2]",1,True,4,1,N,1,N,0,1,0.0,8,27
27,"['Physical Education', 'Computer Science']","[2, 5]",1,False,9,1,1,3,N,0,1,0.0,180,197
28,"['Economics', 'Music', 'Foreign Language']","[5, 3, 5]",3,False,5,0,2,1,N,0,1,0.0,192,209
29,['Physics'],[4],3,False,1,0,N,0,M,1,0,3.0,88,103
30,"['Foreign Language', 'Chemistry', 'Economics']","[5, 4, 2]",3,True,2,0,N,0,N,0,1,0.0,64,83
31,"['Maths', 'Geography']","[4, 4]",1,True,5,1,N,0,N,0,1,0.0,86,102
32,"['Chemistry', 'History', 'Computer Science']","[5, 4, 4]",1,False,1,1,2,3,N,0,1,0.0,206,225
33,"['Computer Science', 'Economics']","[5, 3]",3,True,3,0,N,1,W,1,3,1.5,144,162
34,"['Maths', 'Biology']","[5, 4]",0,True,6,1,2,1,S,1,0,4.5,196,212
35,"['Chemistry', 'Science']","[5, 2]",1,False,1,1,N,0,N,0,1,0.0,232,249
36,"['Physics', 'Physical Education', 'Art']","[5, 5, 2]",3,True,7,1,N,0,N,0,1,0.0,84,98
37,"['Music', 'Foreign Language', 'Chemistry']","[4, 3, 2]",3,False,3,0,2,1,M,1,0,3.0,106,124
38,"['Economics', 'Geography']","[2, 2]",3,False,2,1,N,3,N,0,1,0.0,272,289
39,['History'],[4],3,True,2,0,1,3,N,0,1,0.0,246,263
40,"['Music', 'Literature']","[2, 4]",0,True,5,0,2,3,S,1,0,4.5,292,310
41,['Economics'],[2],0,False,7,0,N,0,N,0,1,0.0,188,206
42,"['Science', 'History', 'Music', 'Geography']","[4, 5, 4, 3]",3,True,4,0,1,1,M,1,0,3.0,168,186
43,"['Economics', 'Biology', 'Chemistry']","[3, 5, 4]",1,True,2,1,N,1,N,0,1,0.0,184,201
44,"['Physical Education', 'Physics', 'Economics']","[5, 5, 5]",3,False,3,3,N,0,N,0,1,0.0,70,86
45,"['Physical Education', 'Maths', 'History', 'Economics']","[4, 2, 3, 4]",1,False,6,1,N,3,M,1,0,3.0,226,243
46,"['Art', 'Physics']","[2, 4]",1,False,8,1,2,0,N,0,1,0.0,60,81
47,"['Foreign Language', 'Science']","[4, 2]",1,True,4,0,2,1,N,0,1,0.0,2,23
48,"['Chemistry', 'Foreign Language']","[5, 3]",0,False,3,1,N,1,N,0,1,0.0,78,97
49,"['Science', 'Maths', 'Geography', 'History']","[2, 5, 4, 4]",1,False,6,0,0,3,S,1,0,4.5,208,222
50,['Economics'],[4],1,True,3,0,N,0,N,0,1,0.0,80,97
51,['Physical Education'],[3],1,True,4,1,N,0,N,0,1,0.0,178,198
52,"['Computer Science', 'Literature', 'Foreign Language', 'Maths', 'Economics']","[5, 3, 4, 2, 3]",3,True,8,0,N,3,N,0,1,0.0,286,302
53,"['Maths', 'Literature', 'History']","[3, 2, 3]",0,True,4,1,N,3,N,0,1,0.0,254,271
54,"['Economics', 'Physical Education', 'History', 'Art']","[2, 4, 4, 2]",1,False,4,1,1,3,N,0,1,0.0,252,272
55,['Music'],[3],1,True,2,1,2,3,N,0,1,0.0,220,240
56,"['Computer Science', 'Science', 'Literature']","[2, 5, 3]",0,False,1,1,1,3,N,0,1,0.0,58,76
57,['Physical Education'],[2],1,False,3,1,2,3,N,0,1,0.0,150,168
58,['Music'],[5],3,False,5,0,N,3,N,0,1,0.0,284,301
59,"['Geography', 'Art', 'Maths']","[5, 2, 5]",1,True,4,0,2,3,N,0,1,0.0,154,168
60,"['Geography', 'Science', 'Physics', 'Biology']","[5, 2, 5, 3]",1,True,4,1,1,0,N,0,1,0.0,4,25
61,"['Foreign Language', 'Music', 'Economics', 'Geography']","[4, 4, 4, 2]",1,True,4,1,N,0,M,1,0,3.0,176,190
62,"['Science', 'Physical Education', 'History', 'English', 'Music']","[2, 3, 2, 2, 3]",1,True,8,1,N,1,N,0,1,0.0,256,270
63,"['History', 'Physics', 'Computer Science', 'English']","[3, 4, 2, 2]",0,True,7,0,N,3,N,0,1,0.0,194,212
64,"['English', 'Chemistry', 'Literature', 'Biology']","[3, 3, 3, 4]",0,True,6,1,N,1,N,0,1,0.0,130,149
65,"['Music', 'History', 'Art']","[5, 4, 5]",0,False,4,3,N,0,N,0,1,0.0,102,117
66,['English'],[3],3,True,2,0,N,0,N,0,1,0.0,136,156
67,['Physical Education'],[5],3,True,3,0,N,3,N,0,1,0.0,210,228
68,"['Physics', 'Science', 'Foreign Language']","[2, 2, 3]",0,False,1,1,N,3,N,0,1,0.0,44,62
69,['Economics'],[3],1,True,2,3,1,3,N,0,1,0.0,94,112
70,"['Music', 'Chemistry']","[5, 3]",3,False,4,1,N,1,N,0,1,0.0,248,265
71,['Biology'],[3],0,True,4,0,N,1,N,0,1,0.0,294,311
72,"['Maths', 'Geography', 'Science']","[2, 5, 2]",0,True,4,1,2,3,N,0,1,0.0,268,288
73,['Maths'],[3],3,False,4,1,0,1,N,0,1,0.0,296,316
74,"['Biology', 'History']","[4, 3]",3,False,3,3,2,3,N,0,1,0.0,110,130
75,"['History', 'Art', 'Biology']","[5, 4, 3]",1,False,4,1,2,3,N,0,1,0.0,234,253
76,"['Physics', 'Biology', 'Art']","[2, 5, 5]",3,False,1,0,N,0,N,0,1,0.0,52,71
77,"['Geography', 'Foreign Language']","[2, 5]",0,False,1,0,1,3,N,0,1,0.0,48,62
78,['Computer Science'],[5],0,True,5,0,N,3,N,0,1,0.0,92,106
79,"['Computer Science', 'Art', 'Physics', 'History']","[3, 2, 5, 4]",3,False,4,1,1,3,W,1,3,1.5,132,152
80,['Foreign Language'],[4],3,True,2,0,1,1,N,0,1,0.0,174,195
81,"['Foreign Language', 'Biology', 'Physics', 'Computer Science']","[4, 3, 4, 2]",1,False,6,0,N,0,M,1,0,3.0,10,26
82,"['History', 'Science']","[4, 3]",3,True,7,0,1,3,N,0,1,0.0,32,50
83,"['Physics', 'Geography', 'Economics']","[3, 5, 4]",3,False,2,3,N,3,N,0,1,0.0,298,313
84,"['Music', 'Foreign Language']","[3, 3]",1,False,2,1,N,3,N,0,1,0.0,112,128
85,"['Literature', 'Art', 'Biology', 'Foreign Language']","[2, 5, 2, 3]",1,True,4,1,N,1,N,0,1,0.0,30,44
86,['Biology'],[5],1,False,4,1,1,3,N,0,1,0.0,134,151
87,"['English', 'Physics', 'Foreign Language', 'Geography', 'Physical Education']","[2, 3, 5, 4, 3]",1,True,9,3,N,1,N,0,1,0.0,158,175
88,"['Physics', 'Geography']","[3, 5]",1,True,5,0,1,1,N,0,1,0.0,114,133
89,['Economics'],[5],1,False,6,1,N,0,N,0,1,0.0,62,82
90,"['Computer Science', 'Physical Education']","[3, 5]",3,False,5,1,N,3,N,0,1,0.0,290,308
91,['Foreign Language'],[3],3,False,7,1,N,0,N,0,1,0.0,50,68
92,"['Chemistry', 'Computer Science']","[2, 2]",0,True,2,1,2,1,N,0,1,0.0,172,190
93,"['Maths', 'Chemistry']","[3, 4]",1,True,2,3,N,3,N,0,1,0.0,68,88
94,['History'],[4],0,True,6,0,0,3,N,0,1,0.0,224,240
95,"['Art', 'English', 'Geography', 'Economics', 'Physics']","[5, 4, 3, 2, 2]",0,True,7,0,2,1,N,0,1,0.0,148,162
96,"['Geography', 'Economics', 'Biology', 'History']","[4, 3, 5, 3]",0,False,8,0,1,1,N,0,1,0.0,72,90
97,"['Music', 'History', 'Biology']","[3, 3, 2]",1,True,8,0,N,1,N,0,1,0.0,74,91
98,"['Art', 'Physical Education']","[5, 5]",1,True,6,3,2,3,N,0,1,0.0,142,158
99,"['Biology', 'Chemistry']","[5, 2]",0,False,4,0,2,3,N,0,1,0.0,120,141
100,"['Maths', 'Chemistry', 'Geography', 'Art']","[3, 3, 5, 2]",3,True,4,3,N,0,N,0,1,0.0,288,305
101,"['Computer Science', 'Science']","[5, 4]",1,True,4,0,N,0,N,0,1,0.0,170,189
102,"['Geography', 'Maths']","[5, 5]",0,False,1,0,2,3,N,0,1,0.0,164,185
103,"['Economics', 'Art', 'Foreign Language']","[3, 4, 4]",1,True,7,1,N,0,N,0,1,0.0,236,251
104,"['Geography', 'Chemistry']","[4, 3]",0,True,3,0,N,0,N,0,1,0.0,18,39
105,"['Biology', 'Art', 'Science', 'Geography']","[3, 5, 5, 3]",3,False,9,0,N,1,N,0,1,0.0,162,180
106,['Economics'],[3],3,True,9,0,1,1,M,1,0,3.0,146,164
107,"['History', 'Computer Science']","[2, 3]",1,True,9,0,N,1,N,0,1,0.0,152,168
108,"['English', 'Physics']","[2, 4]",3,False,5,0,1,1,N,0,1,0.0,190,209
109,"['Computer Science', 'English', 'Music']","[2, 3, 4]",1,True,5,1,2,0,N,0,1,0.0,258,279
110,"['History', 'Physical Education']","[4, 3]",1,True,1,0,N,1,N,0,1,0.0,218,235
111,"['Foreign Language', 'Literature']","[2, 5]",1,False,3,0,N,3,N,0,1,0.0,244,264
112,['Literature'],[4],0,True,2,1,N,3,N,0,1,0.0,280,300
113,"['Literature', 'Physics']","[3, 3]",3,True,2,0,1,0,N,0,1,0.0,216,230
114,"['Economics', 'Foreign Language', 'Chemistry']","[2, 3, 5]",3,False,7,0,2,1,N,0,1,0.0,26,41
115,"['History', 'English']","[5, 5]",0,True,6,3,2,0,N,0,1,0.0,124,145
116,['Geography'],[4],3,False,4,0,N,3,S,1,0,4.5,0,19
117,"['Physics', 'Art']","[2, 2]",1,False,1,0,2,0,N,0,1,0.0,240,259
118,"['Geography', 'English']","[2, 2]",0,True,4,0,N,0,N,0,1,0.0,116,132
119,"['Geography', 'Chemistry', 'English']","[2, 3, 2]",0,False,6,1,N,1,N,0,1,0.0,126,143
120,"['Foreign Language', 'Physical Education', 'History']","[4, 5, 2]",1,True,2,0,N,3,N,0,1,0.0,228,246
121,"['Computer Science', 'Physical Education', 'Science']","[5, 3, 2]",1,False,4,0,2,1,W,1,3,1.5,222,240
122,"['Physical Education', 'Computer Science', 'Chemistry', 'History']","[4, 3, 4, 4]",1,True,9,3,2,3,N,0,1,0.0,56,73
123,"['Science', 'Maths']","[3, 4]",1,False,5,0,N,1,N,0,1,0.0,122,143
124,"['Foreign Language', 'Physical Education']","[3, 2]",1,False,2,1,N,1,N,0,1,0.0,250,271
125,"['Science', 'Foreign Language']","[2, 3]",3,False,1,0,N,3,N,0,1,0.0,98,115
126,"['Science', 'Economics']","[3, 5]",3,False,1,3,N,1,N,0,1,0.0,12,30
127,"['Music', 'History', 'Science', 'Physical Education']","[2, 4, 3, 5]",0,True,5,1,N,3,N,0,1,0.0,108,122
128,"['English', 'Geography']","[5, 4]",3,False,2,1,N,0,N,0,1,0.0,270,289
129,"['Geography', 'Physics']","[5, 3]",0,True,6,0,N,3,S,1,0,4.5,186,201
130,"['Geography', 'Literature', 'Economics', 'Art', 'Physics']","[3, 5, 5, 2, 5]",3,False,10,1,1,1,N,0,1,0.0,242,257
131,"['Foreign Language', 'Physical Education']","[4, 4]",1,False,4,1,N,0,N,0,1,0.0,238,252
132,"['Maths', 'Science', 'Economics', 'Physics']","[2, 2, 3, 4]",1,False,5,1,2,1,N,0,1,0.0,278,298
133,"['Music', 'Literature']","[5, 3]",1,True,1,1,N,0,N,0,1,0.0,214,230
134,"['Physics', 'Geography', 'Maths']","[3, 5, 4]",0,True,3,1,N,0,N,0,1,0.0,28,44
135,['History'],[2],0,False,5,1,1,3,N,0,1,0.0,204,219
136,"['Biology', 'Economics']","[5, 5]",3,True,1,0,N,1,N,0,1,0.0,36,50
137,"['Music', 'Economics']","[4, 4]",3,False,4,0,N,1,N,0,1,0.0,100,114
138,"['Chemistry', 'Geography']","[4, 5]",1,True,8,1,1,0,N,0,1,0.0,202,219
