Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
14,17,8,11,3,27.0,28.7,109.0,189.0,10.0,0.2086780071258545
28,25,15,12,1,24.0,25.5,55.5,163.0,12.0,0.5903420448303223
42,33,17,12,2,21.0,24.4,61.0,174.0,14.0,1.7209761142730713
56,24,17,6,2,16.0,18.0,43.5,103.0,10.0,0.47532224655151367
70,15,14,18,0,32.0,32.0,100.0,202.0,12.0,0.26779699325561523
84,17,19,17,0,22.0,22.0,80.5,174.0,12.0,0.5735101699829102
98,19,18,16,1,30.0,30.5,121.0,183.0,10.0,0.5213391780853271
112,18,18,8,2,20.0,22.3,47.5,118.0,11.0,0.3837740421295166
126,18,14,8,1,19.0,20.2,53.5,109.0,10.0,0.3661019802093506
140,17,13,15,1,36.0,37.2,76.0,171.0,10.0,0.3330671787261963
154,11,16,7,1,16.0,16.8,39.0,97.0,6.0,0.2560300827026367
168,19,14,16,0,25.0,25.0,68.5,183.0,13.0,0.31212401390075684
182,15,16,10,0,18.0,18.0,40.5,113.0,8.0,0.24133729934692383
196,20,16,11,5,31.0,33.3,80.0,239.0,13.0,0.8347480297088623
210,10,16,8,1,16.0,16.5,22.0,103.0,6.0,0.400299072265625
224,13,15,13,0,22.0,22.0,61.0,134.0,9.0,0.342055082321167
238,27,15,8,0,16.0,16.0,32.5,94.0,8.0,0.7480649948120117
252,22,16,13,0,24.0,24.0,65.0,152.0,11.0,0.40140318870544434
266,13,17,11,0,22.0,22.0,23.0,116.0,10.0,0.281815767288208
280,12,17,12,0,23.0,23.0,36.5,134.0,10.0,0.16117310523986816
294,24,17,22,0,39.0,39.0,101.0,237.0,14.0,0.6278982162475586
