Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM,Registration Date,Leaving Date
0,"['Literature', 'Maths', 'Physics']","[2, 2, 4]",0,False,3,0,N,1,W,1,3,1.5,194,215
1,"['Literature', 'Computer Science']","[3, 5]",0,True,6,0,N,3,N,0,1,0.0,102,121
2,"['Maths', 'Physics', 'Economics']","[2, 2, 2]",0,False,4,0,1,1,N,0,1,0.0,144,158
3,"['Maths', 'Music', 'Physics', 'English']","[5, 2, 5, 4]",0,True,9,3,N,1,N,0,1,0.0,220,235
4,"['History', 'Economics']","[4, 2]",1,True,4,1,N,0,N,0,1,0.0,170,186
5,"['Biology', 'Chemistry', 'History']","[2, 2, 4]",1,False,6,0,N,3,N,0,1,0.0,166,185
6,"['Music', 'Art', 'Computer Science']","[2, 2, 3]",1,False,4,0,N,1,N,0,1,0.0,282,299
7,"['Music', 'Physical Education']","[2, 3]",0,False,2,0,N,3,N,0,1,0.0,106,124
8,['Literature'],[2],3,True,1,0,1,3,N,0,1,0.0,112,130
9,"['Foreign Language', 'Chemistry', 'English']","[3, 5, 3]",3,True,6,0,N,0,N,0,1,0.0,124,145
10,['English'],[2],0,False,7,0,0,1,N,0,1,0.0,254,271
11,"['Music', 'Foreign Language', 'Geography']","[4, 4, 2]",1,True,3,0,2,0,N,0,1,0.0,230,249
12,['Biology'],[2],3,True,3,0,0,3,N,0,1,0.0,92,106
13,"['History', 'Economics', 'Music']","[3, 2, 5]",0,False,10,0,2,0,N,0,1,0.0,278,296
14,['English'],[2],1,False,3,1,N,1,N,0,1,0.0,210,230
15,['Art'],[4],1,True,3,0,0,1,N,0,1,0.0,232,253
16,['Science'],[3],3,True,10,1,N,3,M,1,0,3.0,26,47
17,"['Art', 'English']","[5, 2]",0,False,2,0,N,1,N,0,1,0.0,64,80
18,"['Physical Education', 'Foreign Language', 'Computer Science']","[2, 5, 5]",3,True,4,1,2,1,N,0,1,0.0,66,84
19,"['Economics', 'Art', 'History', 'Physics', 'Science']","[2, 3, 4, 5, 3]",3,True,8,1,N,1,N,0,1,0.0,56,70
20,"['Chemistry', 'Literature', 'Economics']","[5, 3, 4]",3,False,3,1,2,1,N,0,1,0.0,272,288
21,"['Physics', 'Art']","[5, 4]",3,True,2,0,N,3,N,0,1,0.0,86,104
22,"['English', 'Music']","[4, 4]",3,False,9,0,1,0,N,0,1,0.0,284,303
23,"['Music', 'Biology', 'History']","[5, 4, 5]",3,False,1,0,N,3,N,0,1,0.0,294,309
24,"['Art', 'Music']","[4, 3]",0,True,4,0,N,1,N,0,1,0.0,174,193
25,['English'],[5],0,True,7,1,N,3,N,0,1,0.0,12,32
26,"['Physics', 'Economics', 'Literature', 'Biology']","[3, 3, 2, 2]",3,True,4,0,N,0,N,0,1,0.0,28,49
27,"['Maths', 'Chemistry', 'English']","[4, 3, 5]",0,False,3,0,N,0,N,0,1,0.0,110,130
28,['Art'],[5],0,False,3,1,N,3,N,0,1,0.0,50,65
29,"['English', 'Chemistry', 'Biology']","[3, 3, 5]",1,False,4,3,N,3,N,0,1,0.0,40,61
30,"['Computer Science', 'Foreign Language', 'Biology']","[2, 5, 2]",1,True,2,1,1,1,N,0,1,0.0,88,104
31,"['Geography', 'Maths']","[2, 2]",1,False,2,3,1,0,N,0,1,0.0,134,154
32,"['Science', 'Geography']","[5, 4]",1,False,5,0,0,3,N,0,1,0.0,2,18
33,['Economics'],[2],0,True,5,0,N,3,N,0,1,0.0,136,154
34,"['History', 'Economics', 'Music', 'English']","[2, 5, 3, 5]",1,True,9,1,N,0,N,0,1,0.0,30,48
35,"['Chemistry', 'History', 'Literature']","[3, 4, 2]",1,True,6,0,1,3,N,0,1,0.0,62,80
