Day,Available Students,Available Mentors,Individual Activities,Group Activities,Total Hours Allocated,Volume,Social Points,Preference Points,Students Involved,Execution Time
0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.002718210220336914
7,7,4,3,0,5.0,5.0,16.0,37.0,3.0,0.023730993270874023
14,10,8,3,1,8.0,9.2,9.5,59.0,5.0,0.09026312828063965
21,15,10,9,1,19.0,20.2,44.0,132.0,9.0,0.3380720615386963
28,19,13,9,0,16.0,16.0,23.5,110.0,7.0,0.5951788425445557
35,21,14,3,0,8.0,8.0,8.5,37.0,3.0,0.7749309539794922
42,20,18,5,0,9.0,9.0,23.0,47.0,5.0,0.7711970806121826
49,15,17,4,0,9.0,9.0,29.0,47.0,4.0,0.44331812858581543
56,17,18,6,0,14.0,14.0,23.0,60.0,6.0,0.579434871673584
63,14,16,3,0,5.0,5.0,8.5,29.0,3.0,0.43981122970581055
70,19,16,7,0,11.0,11.0,52.5,74.0,6.0,0.8199748992919922
77,17,16,2,1,6.0,6.8,26.5,42.0,4.0,0.4590909481048584
84,18,16,7,0,10.0,10.0,22.5,75.0,7.0,0.4312000274658203
91,20,16,8,0,15.0,15.0,33.5,78.0,8.0,0.46121883392333984
98,23,18,9,0,16.0,16.0,42.0,102.0,7.0,0.6531009674072266
105,25,17,4,1,10.0,10.8,35.5,59.0,6.0,0.9168930053710938
112,20,17,12,1,21.0,22.5,82.0,155.0,9.0,0.9026010036468506
119,19,16,6,0,9.0,9.0,30.0,68.0,4.0,0.9931919574737549
126,23,18,7,0,13.0,13.0,18.0,75.0,5.0,0.9523580074310303
133,23,18,7,2,20.0,21.299999999999997,74.0,121.0,10.0,1.1179351806640625
140,25,18,9,0,18.0,18.0,37.5,98.0,8.0,1.2160277366638184
147,23,19,4,0,7.0,7.0,15.0,38.0,3.0,1.0605499744415283
154,24,19,7,0,19.0,19.0,41.5,78.0,7.0,0.8481719493865967
161,25,17,8,0,17.0,17.0,27.5,88.0,8.0,0.4999210834503174
168,25,16,9,0,16.0,16.0,67.0,99.0,9.0,0.44118285179138184
175,27,16,6,0,9.0,9.0,31.0,64.0,6.0,0.3799259662628174
182,29,18,9,0,14.0,14.0,42.5,94.0,9.0,0.5336518287658691
189,24,19,6,0,10.0,10.0,52.5,67.0,6.0,0.35009288787841797
196,19,17,4,0,9.0,9.0,27.5,40.0,4.0,0.3029639720916748
203,21,18,7,1,18.0,18.8,21.5,103.0,8.0,0.3704092502593994
210,26,17,7,2,18.0,20.0,59.5,127.0,11.0,1.0042672157287598
217,32,18,7,0,14.0,14.0,36.5,81.0,7.0,1.320906162261963
224,26,16,5,0,9.0,9.0,22.5,62.0,4.0,0.8818221092224121
231,22,15,2,1,6.0,7.199999999999999,10.0,47.0,4.0,0.28456687927246094
238,19,17,7,0,14.0,14.0,33.0,74.0,4.0,0.41413187980651855
245,17,17,7,0,8.0,8.0,36.0,90.0,6.0,0.3078951835632324
252,20,17,8,1,14.0,14.1,34.0,110.0,9.0,0.4369649887084961
259,26,17,3,1,8.0,9.2,14.5,63.0,5.0,0.683568000793457
266,25,19,9,0,19.0,19.0,46.5,102.0,7.0,0.6271331310272217
273,20,19,4,0,7.0,7.0,25.0,42.0,3.0,0.5225200653076172
280,14,20,11,0,22.0,22.0,59.0,128.0,10.0,0.2989230155944824
287,21,17,3,0,3.0,3.0,17.0,30.0,3.0,0.4026069641113281
294,19,17,3,0,5.0,5.0,10.5,36.0,3.0,0.44347500801086426
