Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation
0,School C,D,['Computer Science'],[1],[1],0,True,2,0,8,2.0,3,0,N
1,School C,C,['Computer Science'],[3],[5],0,True,1,0,12,0.5,1,2,advanced
2,School C,A,"['Science', 'Art']","[2, 2]","[0, 2]",0,True,1,0,4,2.0,1,0,N
3,School E,C,['English'],[3],[1],0,True,0,0,9,1.0,0,0,N
4,School F,A,"['Physical Education', 'Foreign Language', 'English', 'Maths']","[1, 1, 3, 1]","[2, 4, 0, 3]",0,True,0,0,5,1.0,0,0,N
5,School D,A,"['Science', 'English']","[1, 2]","[2, 0]",1,True,0,0,4,1.0,0,0,N
6,School C,C,['History'],[3],[3],0,True,0,0,8,1.0,2,0,N
7,School D,C,"['English', 'Physical Education']","[1, 1]","[3, 1]",1,True,1,0,9,0.5,1,0,N
8,School B,E,"['English', 'Maths']","[1, 2]","[0, 1]",0,True,0,0,8,0.5,3,0,N
9,School A,C,['Maths'],[4],[5],0,True,0,0,8,0.5,0,0,N
