Mentor,Subject,Group Number,Students,Total Hours
1,Science - Year 4,3,"[41, 17]",2.0
1,English - Year 11,2,"[5, 72]",2.0
1,English - Year 11,4,"[29, 66]",2.0
1,English - Year 9,1,"[47, 77]",2.0
1,English - Year 9,4,"[22, 59]",2.0
3,Maths - Year 10,1,"[12, 31]",3.0
3,Maths - Year 10,3,"[49, 62]",3.0
6,History - Year 9,1,"[34, 63]",2.0
6,History - Year 9,2,"[25, 44]",2.0
10,English - Year 6,3,"[68, 13]",3.0
10,English - Year 4,4,"[11, 51]",2.0
10,English - Year 8,3,"[36, 76]",2.0
16,Physical Education - Year 7,1,"[39, 42]",2.0
16,Physical Education - Year 7,3,"[75, 16]",2.0
16,Physical Education - Year 10,1,"[12, 62]",3.0
16,Physical Education - Year 11,5,"[64, 72]",3.0
19,History - Year 5,2,"[7, 20]",2.0
19,History - Year 5,3,"[58, 10]",2.0
19,History - Year 5,5,"[33, 70]",2.0
19,History - Year 7,1,"[23, 27]",2.0
19,History - Year 8,3,"[36, 76]",2.0
23,Science - Year 4,1,"[69, 78]",3.0
23,Physical Education - Year 12,5,"[28, 0]",3.0
23,Physical Education - Year 9,2,"[63, 34]",2.0
25,Maths - Year 9,1,"[8, 47]",2.0
25,Maths - Year 9,2,"[2, 65]",2.0
25,Maths - Year 9,3,"[34, 35]",2.0
32,Maths - Year 4,3,"[40, 41]",3.0
32,Maths - Year 11,2,"[64, 72]",3.0
32,Maths - Year 12,1,"[79, 38]",3.0
33,Art - Year 4,5,"[41, 78]",2.0
35,Literature - Year 9,4,"[22, 8]",2.0
37,History - Year 12,1,"[50, 18]",3.0
37,History - Year 12,2,"[43, 0]",3.0
37,History - Year 11,1,"[5, 52]",2.0
37,History - Year 11,3,"[64, 66]",2.0
39,Computer Science - Year 12,5,"[48, 50]",3.0
