Student,Mentor,Subject,Hours
44,34,Foreign Language - Year 6,1.0
79,13,Maths - Year 9,2.0
78,25,Science - Year 10,3.0
12,1,Computer Science - Year 8,2.0
79,6,Literature - Year 9,3.0
41,25,Art - Year 4,1.0
73,24,Science - Year 10,3.0
29,3,Maths - Year 8,3.0
57,24,Science - Year 4,3.0
56,4,Computer Science - Year 12,1.0
63,4,Computer Science - Year 8,1.0
62,27,Art - Year 4,3.0
68,18,History - Year 6,3.0
64,27,Art - Year 4,2.0
20,34,Foreign Language - Year 7,2.0
4,14,English - Year 11,3.0
26,31,Maths - Year 9,1.0
63,10,History - Year 8,3.0
36,6,Literature - Year 9,3.0
2,31,Maths - Year 11,2.0
55,25,Science - Year 4,1.0
56,13,Maths - Year 12,2.0
29,1,Computer Science - Year 8,3.0
71,7,Maths - Year 12,2.0
48,34,Foreign Language - Year 6,2.0
3,3,Maths - Year 11,1.0
36,21,History - Year 9,1.0
6,5,Physical Education - Year 5,2.0
31,5,Physical Education - Year 8,3.0
79,10,History - Year 9,3.0
24,12,Foreign Language - Year 5,3.0
17,18,History - Year 10,3.0
71,32,English - Year 12,2.0
7,14,English - Year 6,3.0
15,23,Geography - Year 4,3.0
37,26,Maths - Year 6,3.0
25,7,Maths - Year 11,3.0
37,32,English - Year 6,2.0
37,35,Foreign Language - Year 6,3.0
69,0,Science - Year 4,3.0
3,3,History - Year 11,2.0
69,23,Geography - Year 4,3.0
16,5,Physical Education - Year 10,1.0
0,12,Economics - Year 11,3.0
34,34,Foreign Language - Year 5,1.0
10,32,English - Year 5,2.0
37,29,History - Year 6,3.0
54,7,Maths - Year 9,1.0
33,4,Computer Science - Year 12,3.0
16,39,English - Year 10,2.0
52,35,Foreign Language - Year 5,3.0
13,25,Art - Year 4,1.0
62,0,Science - Year 4,2.0
25,31,Physical Education - Year 11,3.0
44,39,English - Year 6,3.0
40,11,Geography - Year 4,3.0
69,13,Maths - Year 4,2.0
34,26,Maths - Year 5,3.0
20,29,History - Year 7,1.0
78,39,English - Year 10,1.0
27,27,Art - Year 4,1.0
71,4,Computer Science - Year 12,1.0
