Student,Mentor,Subject,Hours
57,31,Foreign Language - Year 5,3.0
33,17,History - Year 7,1.0
8,2,Computer Science - Year 8,1.0
33,18,Foreign Language - Year 7,1.0
48,3,English - Year 12,3.0
68,19,English - Year 8,3.0
44,34,English - Year 9,3.0
43,30,Physical Education - Year 12,1.0
48,25,Maths - Year 12,3.0
50,32,English - Year 12,3.0
46,13,History - Year 10,1.0
47,2,Computer Science - Year 12,1.0
66,4,Computer Science - Year 8,1.0
45,2,Computer Science - Year 8,1.0
5,4,Computer Science - Year 8,2.0
49,39,Physical Education - Year 12,1.0
64,21,History - Year 9,3.0
29,11,Science - Year 10,1.0
37,28,Economics - Year 11,1.0
56,27,Maths - Year 12,1.0
30,6,Art - Year 4,1.0
19,13,History - Year 12,2.0
59,36,Geography - Year 4,1.0
51,37,Foreign Language - Year 6,3.0
43,1,English - Year 12,1.0
18,18,Foreign Language - Year 5,2.0
21,11,Science - Year 10,2.0
22,15,Economics - Year 11,1.0
72,26,Computer Science - Year 12,2.0
45,17,History - Year 8,2.0
61,7,Foreign Language - Year 5,1.0
26,9,History - Year 12,3.0
58,28,Economics - Year 11,2.0
31,6,Art - Year 4,2.0
24,14,English - Year 7,1.0
30,33,Geography - Year 4,3.0
36,0,History - Year 10,3.0
73,35,Maths - Year 11,3.0
44,27,Maths - Year 9,2.0
