Student,Mentor,Subject,Hours
75,3,Maths - Year 7,1.0
53,6,History - Year 10,2.0
21,8,Foreign Language - Year 6,1.0
13,8,Foreign Language - Year 6,2.0
69,38,Maths - Year 4,3.0
73,12,Physical Education - Year 9,1.0
15,7,English - Year 5,3.0
64,36,Economics - Year 11,2.0
65,12,Physical Education - Year 9,2.0
9,12,Physical Education - Year 11,2.0
71,15,English - Year 4,1.0
56,29,Computer Science - Year 8,3.0
37,7,English - Year 12,2.0
61,11,English - Year 8,2.0
24,38,Maths - Year 11,3.0
60,12,Physical Education - Year 12,3.0
55,23,Science - Year 10,1.0
73,13,History - Year 9,3.0
74,20,Maths - Year 8,1.0
46,7,English - Year 10,3.0
3,17,Economics - Year 11,2.0
60,15,English - Year 12,1.0
53,21,Science - Year 10,3.0
39,18,English - Year 7,3.0
33,30,Physical Education - Year 5,3.0
20,20,Maths - Year 5,2.0
27,30,Physical Education - Year 7,3.0
2,6,History - Year 9,3.0
56,4,History - Year 8,3.0
62,21,Science - Year 10,3.0
55,23,English - Year 10,1.0
37,39,Computer Science - Year 12,2.0
23,20,Maths - Year 7,1.0
19,18,English - Year 6,3.0
32,8,Economics - Year 11,2.0
70,15,English - Year 5,1.0
67,11,English - Year 12,2.0
30,4,History - Year 6,3.0
78,11,English - Year 4,3.0
11,27,Maths - Year 4,3.0
13,3,Maths - Year 6,1.0
70,15,Physical Education - Year 5,1.0
26,21,Science - Year 10,1.0
30,30,Physical Education - Year 6,3.0
30,0,Foreign Language - Year 6,3.0
4,18,English - Year 11,3.0
28,39,Computer Science - Year 12,3.0
15,8,Foreign Language - Year 5,1.0
14,4,History - Year 6,1.0
6,38,Maths - Year 12,3.0
19,15,Physical Education - Year 6,3.0
61,29,Computer Science - Year 8,2.0
20,10,English - Year 5,3.0
54,27,Maths - Year 11,1.0
65,35,Literature - Year 9,2.0
75,0,Foreign Language - Year 7,3.0
10,0,Foreign Language - Year 5,3.0
30,20,Maths - Year 6,1.0
11,27,Geography - Year 4,1.0
45,38,Maths - Year 11,1.0
40,33,Art - Year 4,2.0
37,27,Maths - Year 12,3.0
4,13,History - Year 11,1.0
4,17,Economics - Year 11,3.0
4,18,Physical Education - Year 11,1.0
1,20,Maths - Year 8,2.0
57,25,Maths - Year 4,3.0
12,21,Science - Year 10,1.0
74,12,Physical Education - Year 8,2.0
36,30,Physical Education - Year 8,1.0
31,21,Science - Year 10,2.0
71,5,Art - Year 4,2.0
19,20,Maths - Year 6,1.0
3,13,History - Year 11,3.0
20,8,Foreign Language - Year 5,2.0
19,4,History - Year 6,3.0
5,36,Economics - Year 11,3.0
29,15,Physical Education - Year 11,3.0
17,27,Geography - Year 4,2.0
44,11,English - Year 9,3.0
12,7,English - Year 10,2.0
70,25,Maths - Year 5,1.0
36,3,Maths - Year 8,1.0
28,13,History - Year 12,3.0
61,20,Maths - Year 8,2.0
74,6,History - Year 8,1.0
