Student,Mentor,Subject,Hours
19,7,Foreign Language - Year 5,3.0
21,8,Foreign Language - Year 6,3.0
43,19,Computer Science - Year 12,2.0
42,39,Literature - Year 9,1.0
68,9,Physical Education - Year 12,1.0
9,37,English - Year 4,2.0
34,14,Maths - Year 4,2.0
78,0,English - Year 5,3.0
41,0,English - Year 7,3.0
46,35,History - Year 5,1.0
32,25,Maths - Year 11,3.0
59,25,Maths - Year 6,1.0
52,36,Maths - Year 11,2.0
52,22,Economics - Year 11,3.0
62,17,Computer Science - Year 8,3.0
2,13,English - Year 5,3.0
11,39,Science - Year 10,1.0
55,36,Maths - Year 10,2.0
18,35,History - Year 7,1.0
2,25,Maths - Year 5,2.0
61,2,Art - Year 4,3.0
38,28,Science - Year 10,2.0
58,28,Science - Year 10,3.0
38,34,History - Year 10,2.0
59,37,English - Year 6,3.0
79,25,Maths - Year 8,1.0
40,13,English - Year 9,1.0
16,16,Maths - Year 12,2.0
25,10,Physical Education - Year 11,3.0
61,2,Geography - Year 4,1.0
73,20,Literature - Year 9,3.0
34,20,Science - Year 4,3.0
32,34,History - Year 11,3.0
62,38,English - Year 8,3.0
64,23,Physical Education - Year 5,3.0
5,37,English - Year 4,1.0
19,35,History - Year 5,3.0
73,13,English - Year 9,1.0
6,25,Maths - Year 9,1.0
59,7,Foreign Language - Year 6,2.0
67,22,Economics - Year 11,3.0
63,18,History - Year 6,3.0
52,4,English - Year 11,3.0
75,5,Physical Education - Year 12,1.0
78,18,History - Year 5,3.0
14,6,English - Year 11,2.0
4,17,Computer Science - Year 8,3.0
33,10,Physical Education - Year 11,1.0
46,3,Physical Education - Year 5,3.0
35,29,Maths - Year 8,1.0
46,29,Maths - Year 5,3.0
45,37,English - Year 4,2.0
29,23,Physical Education - Year 12,2.0
44,0,English - Year 6,2.0
8,15,Foreign Language - Year 5,2.0
30,8,Foreign Language - Year 7,3.0
65,23,Physical Education - Year 10,3.0
13,36,Maths - Year 11,2.0
76,30,Maths - Year 7,1.0
54,30,Maths - Year 6,3.0
21,3,Physical Education - Year 6,2.0
43,34,History - Year 12,3.0
5,14,Maths - Year 4,3.0
40,16,Maths - Year 9,3.0
74,7,Computer Science - Year 12,3.0
14,30,Maths - Year 11,1.0
54,10,Physical Education - Year 6,2.0
12,3,Physical Education - Year 10,1.0
22,10,Physical Education - Year 6,2.0
63,4,English - Year 6,3.0
55,28,Science - Year 10,3.0
31,36,Maths - Year 11,2.0
73,18,History - Year 9,2.0
79,13,English - Year 8,3.0
45,8,Geography - Year 4,2.0
28,29,English - Year 11,1.0
24,38,English - Year 5,3.0
16,16,History - Year 12,3.0
45,14,Maths - Year 4,3.0
32,4,English - Year 11,2.0
6,11,Literature - Year 9,2.0
44,35,History - Year 6,3.0
46,29,English - Year 5,3.0
36,30,Maths - Year 6,3.0
53,3,Physical Education - Year 7,2.0
5,20,Art - Year 4,2.0
