Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 10,5,"[78, 16]",2.0
2,Maths - Year 6,3,"[44, 19]",2.0
2,Maths - Year 12,3,"[5, 77]",2.0
8,Foreign Language - Year 7,2,"[47, 23]",2.0
8,History - Year 7,1,"[76, 23]",2.0
8,History - Year 9,3,"[67, 45]",2.0
9,Literature - Year 9,1,"[45, 67]",3.0
11,Geography - Year 4,3,"[75, 57]",3.0
17,Physical Education - Year 6,4,"[68, 43]",2.0
17,Physical Education - Year 8,3,"[29, 63]",2.0
17,Physical Education - Year 7,2,"[1, 70]",2.0
19,Physical Education - Year 7,2,"[22, 59]",2.0
19,Physical Education - Year 7,4,"[38, 60]",2.0
19,Physical Education - Year 5,3,"[21, 52]",2.0
20,Maths - Year 8,1,"[63, 74]",3.0
20,Maths - Year 8,5,"[65, 61]",3.0
21,History - Year 12,3,"[28, 39]",3.0
21,History - Year 10,1,"[78, 16]",2.0
22,Maths - Year 4,1,"[49, 30]",2.0
22,Maths - Year 4,2,"[57, 27]",2.0
22,Maths - Year 10,5,"[11, 53]",2.0
28,Physical Education - Year 12,2,"[28, 66]",2.0
28,Physical Education - Year 12,4,"[77, 8]",2.0
28,Physical Education - Year 10,2,"[9, 35]",2.0
29,History - Year 5,4,"[21, 52]",2.0
36,English - Year 9,1,"[36, 45]",2.0
36,English - Year 7,3,"[70, 1]",2.0
36,English - Year 7,5,"[59, 42]",2.0
37,Science - Year 4,3,"[50, 75]",3.0
37,History - Year 6,5,"[58, 19]",3.0
