Mentor,Subject,Group Number,Students,Total Hours
1,English - Year 9,4,"[17, 43]",3.0
6,Physical Education - Year 9,5,"[39, 2]",2.0
6,Physical Education - Year 11,1,"[58, 42]",2.0
11,Literature - Year 9,4,"[17, 39]",2.0
13,Computer Science - Year 8,3,"[16, 32]",2.0
14,Physical Education - Year 8,3,"[56, 11]",2.0
14,Physical Education - Year 11,2,"[6, 44]",2.0
16,Art - Year 4,4,"[36, 59]",3.0
18,Physical Education - Year 9,5,"[64, 69]",2.0
18,Physical Education - Year 8,4,"[0, 16]",2.0
27,Maths - Year 8,3,"[23, 0]",2.0
27,Maths - Year 8,4,"[25, 56]",2.0
28,English - Year 9,4,"[12, 1]",3.0
29,English - Year 8,1,"[29, 56]",2.0
29,English - Year 8,5,"[25, 72]",2.0
31,Maths - Year 11,2,"[42, 7]",2.0
31,Maths - Year 11,4,"[70, 58]",2.0
32,Art - Year 4,5,"[3, 75]",3.0
34,Physical Education - Year 8,1,"[66, 72]",2.0
34,Science - Year 10,2,"[73, 57]",2.0
37,History - Year 9,1,"[2, 17]",3.0
