Student,Mentor,Subject,Hours
59,2,English - Year 8,1.0
47,28,Computer Science - Year 8,1.0
55,23,Maths - Year 5,1.0
70,36,Physical Education - Year 7,1.0
2,19,History - Year 12,1.0
62,17,Science - Year 4,1.0
45,1,English - Year 8,1.0
27,14,History - Year 10,1.0
21,10,Economics - Year 11,1.0
3,30,Maths - Year 11,1.0
74,8,Maths - Year 10,1.0
17,39,Maths - Year 9,1.0
28,31,Science - Year 4,1.0
21,33,Physical Education - Year 11,1.0
59,18,Maths - Year 8,1.0
38,21,History - Year 8,1.0
50,9,Maths - Year 12,1.0
15,25,Foreign Language - Year 6,1.0
47,11,Physical Education - Year 8,1.0
33,29,Economics - Year 11,1.0
22,7,Maths - Year 11,1.0
53,27,Literature - Year 9,1.0
36,0,History - Year 5,1.0
71,37,Science - Year 4,1.0
66,26,English - Year 4,1.0
5,5,Geography - Year 4,1.0
3,35,History - Year 11,1.0
63,24,English - Year 12,1.0
32,32,History - Year 11,1.0
11,38,History - Year 9,1.0
5,12,Art - Year 4,1.0
26,13,Computer Science - Year 12,1.0
41,20,Economics - Year 11,1.0
