Mentor,Subject,Group Number,Students,Total Hours
2,Art - Year 4,4,"[66, 69]",3.0
5,Physical Education - Year 10,2,"[58, 77]",2.0
5,Physical Education - Year 10,3,"[23, 27]",2.0
5,Physical Education - Year 11,1,"[1, 32]",3.0
6,English - Year 10,3,"[39, 77]",2.0
6,English - Year 10,4,"[65, 10]",2.0
6,English - Year 12,1,"[47, 75]",2.0
9,Physical Education - Year 6,5,"[3, 72]",2.0
9,Physical Education - Year 7,5,"[50, 76]",2.0
9,Physical Education - Year 8,4,"[7, 48]",3.0
15,Foreign Language - Year 7,1,"[76, 50]",3.0
15,Foreign Language - Year 7,3,"[17, 37]",3.0
19,Computer Science - Year 12,2,"[16, 0]",3.0
19,Computer Science - Year 12,5,"[60, 75]",3.0
24,History - Year 6,5,"[51, 21]",2.0
24,History - Year 7,3,"[15, 53]",3.0
24,History - Year 7,5,"[56, 50]",3.0
26,English - Year 5,1,"[57, 8]",3.0
26,English - Year 4,2,"[70, 34]",2.0
26,English - Year 7,2,"[50, 76]",3.0
27,Maths - Year 12,3,"[49, 47]",2.0
27,Maths - Year 6,4,"[51, 63]",3.0
27,Maths - Year 6,5,"[71, 3]",3.0
33,History - Year 12,1,"[74, 49]",3.0
33,History - Year 10,3,"[10, 23]",2.0
33,History - Year 8,4,"[26, 48]",3.0
38,English - Year 7,2,"[53, 15]",2.0
39,Foreign Language - Year 6,4,"[63, 20]",3.0
