Mentor,Subject,Group Number,Students,Total Hours
1,Maths - Year 12,3,"[19, 3]",2.0
5,Maths - Year 11,2,"[10, 22]",3.0
7,Foreign Language - Year 5,3,"[28, 27]",2.0
10,Science - Year 4,1,"[40, 39]",3.0
14,English - Year 12,1,"[19, 65]",2.0
20,Foreign Language - Year 6,3,"[63, 35]",3.0
23,Maths - Year 11,2,"[15, 70]",3.0
24,Foreign Language - Year 6,2,"[17, 16]",3.0
30,Physical Education - Year 12,4,"[47, 0]",2.0
36,Geography - Year 4,1,"[74, 12]",2.0
39,Physical Education - Year 12,1,"[65, 19]",2.0
