Mentor,Subject,Group Number,Students,Total Hours
6,History - Year 6,1,"[41, 35]",3.0
7,Maths - Year 5,2,"[56, 6]",3.0
10,Science - Year 10,5,"[28, 30]",2.0
10,English - Year 7,1,"[69, 16]",3.0
15,Physical Education - Year 6,4,"[34, 38]",3.0
15,Physical Education - Year 12,1,"[9, 0]",2.0
15,Physical Education - Year 11,1,"[25, 11]",3.0
19,Physical Education - Year 6,3,"[41, 35]",3.0
20,Computer Science - Year 8,5,"[36, 55]",3.0
22,Physical Education - Year 7,2,"[69, 8]",3.0
22,Physical Education - Year 7,4,"[14, 32]",3.0
23,Foreign Language - Year 7,4,"[32, 69]",3.0
24,Maths - Year 6,5,"[35, 38]",3.0
25,History - Year 11,1,"[2, 65]",3.0
25,History - Year 9,1,"[29, 61]",3.0
30,Maths - Year 9,2,"[61, 50]",3.0
30,Maths - Year 9,3,"[3, 59]",3.0
30,Maths - Year 11,1,"[43, 17]",3.0
36,Literature - Year 9,1,"[23, 50]",3.0
37,English - Year 6,1,"[47, 41]",3.0
37,English - Year 6,5,"[12, 35]",3.0
37,English - Year 8,3,"[79, 18]",2.0
