Student,Mentor,Subject,Hours
64,5,English - Year 5,2.0
39,0,History - Year 6,3.0
7,21,English - Year 6,2.0
49,10,English - Year 10,1.0
19,12,English - Year 8,3.0
57,31,History - Year 11,2.0
9,7,Maths - Year 12,3.0
75,24,Maths - Year 5,1.0
46,34,Art - Year 4,3.0
63,28,Computer Science - Year 12,2.0
24,31,History - Year 12,1.0
6,17,Foreign Language - Year 5,3.0
6,0,History - Year 5,3.0
73,24,Maths - Year 7,1.0
24,5,English - Year 12,3.0
37,39,Maths - Year 4,1.0
54,3,Physical Education - Year 10,2.0
42,5,English - Year 8,3.0
15,26,History - Year 7,3.0
77,19,Physical Education - Year 9,2.0
25,4,Maths - Year 11,3.0
4,39,History - Year 8,1.0
13,18,Art - Year 4,3.0
31,25,History - Year 9,3.0
12,33,Maths - Year 6,3.0
10,37,English - Year 11,1.0
78,14,Physical Education - Year 6,3.0
37,12,English - Year 4,1.0
53,7,Maths - Year 8,1.0
74,2,Economics - Year 11,2.0
26,15,Physical Education - Year 10,1.0
52,31,History - Year 10,3.0
44,36,Maths - Year 7,1.0
73,24,Foreign Language - Year 7,1.0
68,23,Foreign Language - Year 7,1.0
51,21,English - Year 7,2.0
57,36,Maths - Year 11,2.0
77,8,Literature - Year 9,2.0
41,17,Foreign Language - Year 6,1.0
54,4,Maths - Year 10,3.0
68,11,Physical Education - Year 7,3.0
27,33,Maths - Year 5,3.0
52,29,Science - Year 10,3.0
61,11,Physical Education - Year 9,2.0
12,6,History - Year 6,3.0
64,8,History - Year 5,2.0
67,23,Foreign Language - Year 7,3.0
72,6,History - Year 5,2.0
66,23,Foreign Language - Year 7,1.0
24,3,Physical Education - Year 12,1.0
21,11,Physical Education - Year 10,2.0
43,31,History - Year 11,3.0
75,24,Foreign Language - Year 5,3.0
51,11,Physical Education - Year 7,2.0
5,13,Geography - Year 4,2.0
40,23,Foreign Language - Year 6,1.0
68,6,History - Year 7,1.0
4,39,Maths - Year 8,1.0
45,5,English - Year 12,1.0
76,39,Maths - Year 8,1.0
52,3,Physical Education - Year 10,2.0
62,3,Physical Education - Year 12,1.0
48,21,English - Year 6,2.0
57,10,English - Year 11,3.0
52,39,Maths - Year 10,3.0
0,33,Maths - Year 12,3.0
79,20,Computer Science - Year 8,3.0
13,7,Maths - Year 4,2.0
25,26,History - Year 11,3.0
74,4,Maths - Year 11,2.0
58,0,History - Year 8,3.0
39,3,Physical Education - Year 6,2.0
70,19,Physical Education - Year 7,2.0
58,14,Physical Education - Year 8,3.0
61,36,Literature - Year 9,3.0
19,26,History - Year 8,3.0
25,2,Economics - Year 11,1.0
1,19,Physical Education - Year 5,2.0
16,14,Physical Education - Year 7,3.0
60,22,Physical Education - Year 8,3.0
24,32,Computer Science - Year 12,2.0
76,39,History - Year 8,2.0
5,29,Science - Year 4,3.0
33,12,English - Year 4,2.0
46,29,Science - Year 4,3.0
20,21,English - Year 5,3.0
18,8,History - Year 8,2.0
76,28,Computer Science - Year 8,1.0
40,3,Physical Education - Year 6,1.0
71,12,English - Year 11,3.0
