Mentor,Subject,Group Number,Students,Total Hours
5,History - Year 7,3,"[74, 8]",2.0
5,History - Year 9,1,"[64, 70]",3.0
5,History - Year 8,1,"[78, 5]",2.0
6,English - Year 9,3,"[71, 16]",2.0
6,English - Year 12,5,"[52, 18]",2.0
7,English - Year 6,4,"[77, 40]",2.0
7,English - Year 11,1,"[36, 7]",2.0
7,English - Year 11,5,"[53, 4]",2.0
10,Physical Education - Year 11,2,"[49, 4]",3.0
10,Physical Education - Year 11,5,"[35, 60]",3.0
14,English - Year 4,3,"[25, 48]",2.0
15,History - Year 11,4,"[2, 60]",3.0
15,Computer Science - Year 12,1,"[28, 39]",2.0
17,Maths - Year 9,1,"[21, 27]",2.0
17,Maths - Year 11,2,"[36, 2]",2.0
17,Maths - Year 12,4,"[28, 18]",2.0
22,Maths - Year 9,4,"[37, 55]",2.0
22,Maths - Year 9,5,"[16, 46]",2.0
24,History - Year 11,5,"[4, 35]",3.0
24,History - Year 9,3,"[20, 12]",3.0
28,Physical Education - Year 9,3,"[20, 61]",2.0
28,Physical Education - Year 8,2,"[6, 41]",2.0
28,Physical Education - Year 8,4,"[78, 38]",3.0
33,Foreign Language - Year 7,3,"[43, 8]",2.0
34,Maths - Year 7,4,"[74, 8]",2.0
