Student,Mentor,Subject,Hours
6,16,History - Year 5,1.0
65,3,English - Year 6,2.0
26,30,History - Year 8,2.0
39,28,English - Year 12,1.0
59,29,Computer Science - Year 8,2.0
66,15,English - Year 7,2.0
5,12,Computer Science - Year 12,1.0
59,13,English - Year 8,2.0
25,37,Maths - Year 12,2.0
8,10,Physical Education - Year 12,3.0
45,29,Computer Science - Year 8,1.0
77,3,English - Year 11,3.0
34,36,Science - Year 10,2.0
25,13,English - Year 12,3.0
72,27,History - Year 5,1.0
9,2,Art - Year 4,3.0
65,21,Physical Education - Year 6,2.0
60,17,Computer Science - Year 8,2.0
54,16,History - Year 8,2.0
52,21,Physical Education - Year 5,2.0
35,30,History - Year 5,1.0
9,23,Geography - Year 4,3.0
55,24,Physical Education - Year 12,2.0
58,27,History - Year 7,3.0
78,4,Literature - Year 9,3.0
5,22,History - Year 12,2.0
57,35,Foreign Language - Year 5,2.0
57,0,English - Year 5,1.0
33,17,Geography - Year 4,3.0
65,21,Maths - Year 6,1.0
73,5,History - Year 11,1.0
15,16,History - Year 7,1.0
3,1,Maths - Year 8,1.0
74,19,Foreign Language - Year 5,1.0
63,4,Literature - Year 9,2.0
61,14,History - Year 9,1.0
71,24,Physical Education - Year 11,1.0
27,10,Physical Education - Year 7,2.0
28,37,Maths - Year 10,3.0
20,9,Art - Year 4,3.0
16,16,History - Year 6,1.0
75,22,History - Year 10,3.0
1,5,History - Year 6,1.0
14,38,English - Year 6,2.0
17,6,Physical Education - Year 9,3.0
70,18,Science - Year 4,3.0
60,39,Maths - Year 8,3.0
2,33,English - Year 8,3.0
26,29,Computer Science - Year 8,2.0
61,28,English - Year 9,2.0
10,5,History - Year 7,3.0
64,9,Foreign Language - Year 7,2.0
58,2,Foreign Language - Year 7,1.0
49,8,Maths - Year 7,1.0
66,38,Maths - Year 7,3.0
59,27,History - Year 8,1.0
12,15,English - Year 7,1.0
