Student,Mentor,Subject,Hours
28,22,English - Year 9,1.0
77,15,Science - Year 10,2.0
77,32,History - Year 10,2.0
52,0,Computer Science - Year 8,2.0
70,33,Maths - Year 7,2.0
41,4,Foreign Language - Year 5,1.0
13,23,Maths - Year 12,2.0
35,3,Geography - Year 4,2.0
75,2,Economics - Year 11,2.0
16,35,Physical Education - Year 11,2.0
41,4,Maths - Year 5,1.0
13,6,History - Year 12,2.0
59,7,Art - Year 4,2.0
45,22,English - Year 4,1.0
7,19,Science - Year 10,2.0
42,20,English - Year 12,2.0
12,16,English - Year 12,2.0
19,9,Foreign Language - Year 6,2.0
37,18,Science - Year 10,2.0
