Student,Mentor,Subject,Hours
62,36,Physical Education - Year 10,1.0
49,8,English - Year 8,3.0
30,4,Maths - Year 7,3.0
57,7,History - Year 10,1.0
5,22,Physical Education - Year 11,3.0
72,13,Computer Science - Year 8,2.0
53,33,Economics - Year 11,3.0
35,26,English - Year 11,1.0
19,15,Maths - Year 5,2.0
71,20,History - Year 5,2.0
42,19,Economics - Year 11,1.0
71,10,Foreign Language - Year 5,2.0
49,9,Computer Science - Year 8,1.0
62,36,Science - Year 10,3.0
8,38,Foreign Language - Year 6,3.0
75,5,Science - Year 4,2.0
52,33,Computer Science - Year 12,1.0
41,37,History - Year 12,1.0
77,3,Maths - Year 4,1.0
10,7,English - Year 8,3.0
68,35,English - Year 5,1.0
50,5,Science - Year 4,1.0
47,2,Foreign Language - Year 7,2.0
48,17,English - Year 9,3.0
10,3,Physical Education - Year 8,3.0
48,17,Literature - Year 9,1.0
61,35,History - Year 12,3.0
20,28,English - Year 5,1.0
3,23,Geography - Year 4,1.0
22,38,Foreign Language - Year 5,1.0
76,10,Foreign Language - Year 7,2.0
38,12,Physical Education - Year 11,2.0
5,30,Economics - Year 11,1.0
50,23,Geography - Year 4,3.0
45,39,Art - Year 4,3.0
13,19,Economics - Year 11,3.0
40,30,Economics - Year 11,3.0
33,9,Computer Science - Year 12,3.0
13,26,English - Year 11,3.0
49,25,Maths - Year 8,1.0
61,15,Maths - Year 12,2.0
9,32,Literature - Year 9,1.0
33,12,Physical Education - Year 12,2.0
27,16,Literature - Year 9,1.0
74,8,English - Year 6,1.0
24,11,Literature - Year 9,2.0
65,22,Physical Education - Year 12,1.0
49,25,Physical Education - Year 8,3.0
75,5,English - Year 4,1.0
60,20,History - Year 10,2.0
33,1,English - Year 12,1.0
47,4,Maths - Year 7,1.0
