Mentor ID,Subjects,Max Group Capacity per Subject,Social Disadvantage Preference,Accepts Group,Time Capacity,Social Index,Student Year Preference,Social Preference,GPM,GPM_PM,GPM_SM,GPM_WM
0,['Maths'],[4],1,True,5,0,N,0,N,0,1,0.0
1,"['Biology', 'Music', 'Computer Science']","[3, 2, 2]",1,True,5,1,1,0,N,0,1,0.0
2,"['Physical Education', 'Art', 'Economics', 'History']","[2, 3, 3, 2]",1,True,5,1,1,3,N,0,1,0.0
3,"['Computer Science', 'History', 'Geography', 'Literature', 'Biology']","[3, 3, 3, 5, 3]",0,True,9,1,N,3,N,0,1,0.0
4,"['Economics', 'Foreign Language']","[3, 4]",3,True,2,0,0,0,M,1,0,3.0
5,"['Chemistry', 'Computer Science']","[3, 3]",3,True,3,0,N,3,N,0,1,0.0
6,"['Art', 'Economics', 'History', 'Geography']","[2, 4, 4, 5]",0,True,9,1,1,1,N,0,1,0.0
7,"['Geography', 'Maths', 'Physical Education']","[4, 4, 5]",1,True,6,1,N,3,N,0,1,0.0
8,"['Art', 'Geography']","[5, 2]",3,True,3,0,N,3,N,0,1,0.0
9,"['Foreign Language', 'Physics']","[2, 2]",3,True,5,0,N,0,N,0,1,0.0
10,"['Computer Science', 'Music', 'English']","[2, 2, 2]",0,True,2,0,1,0,M,1,0,3.0
11,['Computer Science'],[4],3,True,7,0,N,0,N,0,1,0.0
12,"['Science', 'Economics', 'Biology']","[3, 2, 4]",0,True,2,0,N,1,N,0,1,0.0
13,"['Literature', 'Computer Science']","[3, 2]",0,True,3,1,1,3,N,0,1,0.0
14,"['Science', 'Maths', 'Physical Education']","[3, 5, 3]",0,True,3,1,N,0,N,0,1,0.0
15,"['Maths', 'Science', 'Biology', 'Art']","[4, 5, 4, 4]",0,True,9,0,N,0,N,0,1,0.0
16,"['Physical Education', 'Literature', 'Economics']","[3, 4, 5]",1,True,4,0,N,3,N,0,1,0.0
17,['Economics'],[5],0,True,9,1,N,1,N,0,1,0.0
18,"['Foreign Language', 'Computer Science', 'Biology']","[5, 4, 2]",0,True,1,1,2,3,N,0,1,0.0
19,"['History', 'Maths', 'Music']","[4, 5, 2]",0,True,4,0,N,1,N,0,1,0.0
20,"['Science', 'Physical Education', 'Biology', 'Computer Science']","[4, 5, 2, 3]",3,True,4,0,N,1,N,0,1,0.0
21,['English'],[5],0,True,2,0,N,1,N,0,1,0.0
22,['Computer Science'],[4],3,True,6,1,2,1,N,0,1,0.0
23,"['Computer Science', 'Biology']","[5, 2]",3,True,3,1,N,0,M,1,0,3.0
24,"['Geography', 'Science']","[5, 2]",0,True,1,0,1,1,N,0,1,0.0
25,"['Economics', 'History']","[4, 4]",0,True,10,0,N,3,N,0,1,0.0
26,"['History', 'Biology', 'Physical Education', 'Computer Science']","[4, 3, 5, 2]",0,True,6,1,N,3,N,0,1,0.0
27,"['History', 'Art']","[3, 4]",0,True,3,1,2,1,N,0,1,0.0
28,"['Economics', 'Physical Education']","[2, 4]",3,True,2,1,2,1,N,0,1,0.0
29,['Literature'],[5],3,True,7,0,N,3,N,0,1,0.0
30,['Literature'],[3],3,True,2,0,1,0,N,0,1,0.0
31,"['Art', 'Literature']","[4, 4]",0,True,6,1,N,1,N,0,1,0.0
32,"['History', 'Economics', 'Music', 'Foreign Language']","[3, 5, 3, 2]",3,True,6,0,N,1,N,0,1,0.0
33,"['Biology', 'Foreign Language']","[4, 2]",0,True,4,1,0,3,S,1,0,4.5
34,"['Literature', 'Maths', 'Foreign Language']","[5, 4, 2]",0,True,7,1,2,3,S,1,0,4.5
35,"['Foreign Language', 'Economics', 'Maths']","[4, 4, 4]",3,True,1,0,1,1,N,0,1,0.0
36,"['Art', 'Science']","[4, 2]",1,True,2,1,N,0,N,0,1,0.0
37,['Physics'],[5],0,True,6,0,N,1,N,0,1,0.0
38,"['English', 'Maths']","[4, 5]",0,True,1,0,2,3,N,0,1,0.0
39,"['Chemistry', 'Science', 'Biology', 'Geography']","[2, 4, 5, 2]",0,True,8,0,0,3,N,0,1,0.0
