Student ID,School,Class,Subjects,Time Required,Grades,Social Disadvantage,Accepts Group,Home Help,Equipment,Year,Not Enough Help at Home,Weak student,Critical Year,Matriculation
0,School J,A,['English'],[3],[3],1,True,2,0,6,0.5,1,0,N
1,School G,C,['Physical Education'],[2],[2],0,True,1,0,9,0.5,0,0,N
2,School O1,B,['English'],[3],[4],3,True,2,0,7,0.5,1,0,N
3,School H1,D,"['Maths', 'English']","[2, 2]","[4, 4]",0,True,2,0,5,0.5,0,0,N
4,School M1,C,['History'],[3],[4],0,True,2,0,6,1.0,1,0,N
5,School X,D,['History'],[2],[3],2,True,1,0,9,0.5,0,0,N
6,School N,B,['Art'],[2],[3],3,True,1,0,4,1.0,0,0,N
7,School J,C,['Art'],[2],[4],2,True,1,0,4,1.0,0,0,N
8,School K1,E,['Maths'],[2],[5],0,True,0,0,6,0.5,1,0,N
9,School L1,E,['Physical Education'],[3],[0],1,True,0,0,10,0.5,0,0,N
10,School Z,E,"['Computer Science', 'History']","[1, 3]","[1, 1]",3,True,0,0,8,0.5,1,0,N
11,School A2,D,['Physical Education'],[2],[0],0,True,2,0,5,0.5,0,0,N
12,School W,D,['English'],[2],[5],0,True,1,0,7,1.0,1,0,N
13,School T,E,['Economics'],[3],[0],0,True,2,0,11,2.0,1,1,N
14,School N1,A,['History'],[1],[3],1,True,0,0,9,0.5,0,0,N
15,School H1,C,['History'],[2],[3],0,True,0,0,12,1.0,1,2,advanced
16,School I,A,['English'],[3],[5],0,True,1,0,5,4.0,1,0,N
17,School F1,D,"['English', 'Maths']","[2, 1]","[0, 5]",0,True,0,0,12,1.0,0,2,advanced
18,School H,A,"['English', 'Foreign Language']","[2, 1]","[5, 4]",0,True,2,0,6,0.5,2,0,N
19,School X1,C,"['Maths', 'English']","[1, 2]","[5, 1]",1,True,2,0,11,0.5,0,1,N
20,School E,C,"['Physical Education', 'English', 'Maths', 'History']","[2, 1, 1, 2]","[1, 3, 0, 2]",2,True,1,0,7,0.5,0,0,N
21,School F1,A,['Physical Education'],[2],[4],3,True,0,0,9,1.0,1,0,N
22,School H,D,['English'],[1],[2],0,True,2,0,11,1.0,1,1,N
23,School U1,D,"['History', 'Physical Education']","[1, 1]","[1, 1]",1,True,1,0,7,0.5,1,0,N
24,School H,E,['History'],[3],[4],0,True,0,0,8,1.0,2,0,N
25,School B1,D,['Physical Education'],[1],[1],0,True,2,0,5,0.5,1,0,N
26,School R1,D,"['English', 'Physical Education']","[1, 3]","[0, 5]",0,True,0,0,6,0.5,3,0,N
27,School W,A,['Science'],[3],[4],2,True,0,0,10,1.0,1,0,N
28,School F,A,"['Maths', 'English', 'Foreign Language', 'History']","[3, 2, 3, 3]","[4, 4, 1, 5]",0,True,1,0,7,0.5,0,0,N
29,School B,D,"['Physical Education', 'Maths']","[2, 1]","[1, 2]",0,True,0,0,10,0.5,0,0,N
30,School H,E,"['History', 'Science']","[1, 3]","[1, 0]",0,True,1,0,10,0.5,0,0,N
31,School H1,B,['History'],[1],[1],0,True,0,0,6,1.0,1,0,N
32,School B,C,"['Maths', 'Science', 'English']","[2, 4, 2]","[2, 3, 5]",0,True,0,0,4,1.0,0,0,N
33,School E1,B,['History'],[3],[5],0,True,1,0,10,1.0,1,0,N
34,School N,D,"['English', 'History']","[3, 2]","[5, 5]",0,True,2,0,5,3.0,1,0,N
35,School R,A,['Maths'],[1],[1],0,True,1,0,5,0.5,1,0,N
36,School J,A,['Computer Science'],[3],[3],1,True,1,0,8,0.5,0,0,N
37,School V,B,"['Physical Education', 'Computer Science']","[2, 2]","[1, 0]",0,True,1,0,12,0.5,0,2,advanced
38,School A2,C,['English'],[3],[5],0,True,0,0,4,1.0,1,0,N
39,School G,C,['Maths'],[2],[4],0,True,2,0,7,1.5,3,0,N
40,School C1,A,['Computer Science'],[1],[0],2,True,2,0,12,0.5,0,2,advanced
41,School J,D,"['Science', 'Art', 'English', 'Maths']","[2, 3, 1, 3]","[2, 2, 3, 2]",0,True,2,0,4,1.0,0,0,N
42,School F,D,['History'],[3],[5],0,True,2,0,8,1.5,1,0,N
43,School C1,E,"['Foreign Language', 'History', 'English']","[4, 2, 1]","[3, 3, 1]",0,True,2,0,5,1.5,1,0,N
