Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,2,"[38, 34]",2.0
35,Art - Year 4,3,"[55, 5]",2.0
6,Geography - Year 4,5,"[63, 3]",2.0
10,Physical Education - Year 12,3,"[6, 22]",2.0
12,English - Year 6,5,"[42, 61]",3.0
15,Physical Education - Year 6,1,"[24, 67]",3.0
22,Science - Year 10,2,"[73, 43]",3.0
23,Physical Education - Year 10,5,"[62, 73]",2.0
27,History - Year 6,4,"[8, 61]",3.0
28,Physical Education - Year 6,1,"[42, 8]",3.0
28,Physical Education - Year 12,1,"[45, 21]",2.0
31,Physical Education - Year 10,4,"[59, 43]",3.0
31,Physical Education - Year 10,5,"[77, 57]",3.0
