Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,1,"[39, 31]",3.0
34,Maths - Year 12,3,"[12, 13]",2.0
34,Maths - Year 9,2,"[14, 25]",2.0
6,Geography - Year 4,2,"[16, 29]",2.0
12,English - Year 10,3,"[73, 66]",3.0
15,Physical Education - Year 9,3,"[14, 79]",3.0
21,Maths - Year 9,5,"[22, 10]",2.0
22,Science - Year 10,2,"[66, 6]",3.0
23,Literature - Year 9,2,"[10, 25]",2.0
26,Maths - Year 7,5,"[61, 23]",2.0
27,History - Year 9,1,"[79, 63]",2.0
28,Maths - Year 7,1,"[34, 50]",2.0
28,Physical Education - Year 9,1,"[22, 32]",3.0
31,Physical Education - Year 11,2,"[77, 43]",3.0
