Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 8,5,"[19, 45]",3.0
34,Maths - Year 12,2,"[52, 17]",3.0
34,Maths - Year 12,4,"[61, 21]",3.0
35,Computer Science - Year 8,3,"[24, 45]",2.0
35,Computer Science - Year 8,5,"[34, 19]",2.0
8,Computer Science - Year 12,4,"[61, 31]",2.0
10,Physical Education - Year 8,1,"[45, 9]",2.0
12,English - Year 5,3,"[69, 1]",3.0
15,Maths - Year 6,1,"[78, 3]",3.0
21,Maths - Year 11,1,"[54, 65]",2.0
22,Maths - Year 8,1,"[9, 14]",3.0
23,Physical Education - Year 6,4,"[78, 71]",2.0
24,Computer Science - Year 12,1,"[52, 18]",2.0
26,Maths - Year 7,4,"[68, 16]",2.0
27,History - Year 7,2,"[46, 56]",2.0
28,Physical Education - Year 5,1,"[63, 69]",3.0
28,Physical Education - Year 8,1,"[24, 34]",2.0
31,Physical Education - Year 12,3,"[74, 31]",3.0
31,Physical Education - Year 12,5,"[43, 61]",3.0
