Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 8,3,"[67, 1]",2.0
34,Maths - Year 10,2,"[46, 50]",2.0
34,Maths - Year 9,4,"[58, 11]",2.0
34,Literature - Year 9,5,"[10, 11]",3.0
35,Computer Science - Year 12,5,"[2, 9]",3.0
8,Computer Science - Year 12,3,"[21, 18]",3.0
10,Physical Education - Year 11,1,"[23, 76]",2.0
12,English - Year 9,5,"[51, 61]",3.0
15,Physical Education - Year 9,2,"[45, 11]",2.0
15,Physical Education - Year 9,3,"[12, 58]",2.0
21,Maths - Year 10,3,"[72, 26]",2.0
22,Science - Year 4,3,"[44, 60]",2.0
23,Physical Education - Year 6,3,"[53, 20]",2.0
26,Maths - Year 9,3,"[51, 65]",2.0
27,History - Year 9,5,"[61, 4]",2.0
28,Maths - Year 7,1,"[35, 49]",2.0
28,Maths - Year 7,3,"[70, 62]",2.0
31,Physical Education - Year 10,4,"[72, 54]",2.0
