Student,Mentor,Subject,Hours
54,19,English - Year 4,2.0
0,9,Art - Year 4,1.0
72,37,History - Year 9,1.0
12,27,History - Year 11,1.0
23,5,Economics - Year 11,3.0
44,11,Foreign Language - Year 6,2.0
35,11,Foreign Language - Year 7,2.0
53,0,Foreign Language - Year 6,3.0
3,18,Foreign Language - Year 6,2.0
60,11,Foreign Language - Year 5,3.0
55,16,Science - Year 10,1.0
9,22,Maths - Year 12,1.0
25,14,Geography - Year 4,3.0
34,16,Science - Year 10,1.0
2,17,Maths - Year 12,3.0
9,8,Computer Science - Year 12,1.0
62,0,Foreign Language - Year 6,3.0
14,3,Literature - Year 9,1.0
14,32,English - Year 9,3.0
43,2,Maths - Year 7,1.0
61,4,Literature - Year 9,2.0
40,39,Foreign Language - Year 5,1.0
52,7,English - Year 11,1.0
29,19,English - Year 11,1.0
78,36,Foreign Language - Year 5,2.0
11,36,Foreign Language - Year 7,3.0
29,37,History - Year 11,3.0
6,32,English - Year 11,3.0
10,0,Foreign Language - Year 5,3.0
56,5,Economics - Year 11,1.0
58,17,Maths - Year 4,1.0
1,36,Foreign Language - Year 5,2.0
19,36,Foreign Language - Year 7,3.0
8,29,Science - Year 4,3.0
6,29,Economics - Year 11,1.0
24,34,Maths - Year 11,1.0
51,11,Foreign Language - Year 7,3.0
30,1,Physical Education - Year 7,3.0
41,3,Literature - Year 9,3.0
36,1,Physical Education - Year 12,3.0
