Student,Mentor,Subject,Hours
26,10,Physical Education - Year 12,2.0
46,29,Science - Year 4,1.0
55,29,Science - Year 10,1.0
20,9,Art - Year 4,2.0
35,11,Foreign Language - Year 7,1.0
25,11,Foreign Language - Year 6,2.0
52,16,Science - Year 10,2.0
12,18,Foreign Language - Year 6,2.0
20,29,Science - Year 4,3.0
60,37,History - Year 12,1.0
54,35,Computer Science - Year 12,3.0
73,31,Physical Education - Year 12,2.0
33,5,Economics - Year 11,1.0
34,36,Foreign Language - Year 6,2.0
77,9,Art - Year 4,1.0
64,32,English - Year 7,1.0
42,20,Geography - Year 4,3.0
36,16,Science - Year 10,2.0
67,9,Art - Year 4,1.0
59,35,Computer Science - Year 8,1.0
11,8,Computer Science - Year 12,1.0
19,25,Geography - Year 4,1.0
69,1,Physical Education - Year 5,3.0
76,31,Physical Education - Year 11,2.0
39,34,Maths - Year 12,1.0
20,36,Geography - Year 4,2.0
37,36,Foreign Language - Year 6,3.0
23,1,Physical Education - Year 12,3.0
5,6,Geography - Year 4,2.0
11,32,English - Year 12,2.0
76,19,English - Year 11,3.0
29,36,Literature - Year 9,1.0
40,11,Foreign Language - Year 7,2.0
43,17,Maths - Year 7,2.0
4,37,History - Year 11,3.0
76,5,Economics - Year 11,3.0
71,36,Foreign Language - Year 7,2.0
60,15,Maths - Year 12,1.0
31,11,Foreign Language - Year 7,3.0
24,7,English - Year 12,1.0
26,24,Computer Science - Year 12,2.0
32,17,Maths - Year 8,2.0
67,14,Geography - Year 4,3.0
61,32,English - Year 7,3.0
