Student,Mentor,Subject,Hours
55,17,Maths - Year 12,3.0
2,29,Computer Science - Year 12,2.0
66,32,English - Year 6,3.0
42,22,Maths - Year 4,3.0
46,19,English - Year 4,3.0
44,1,Physical Education - Year 8,3.0
24,36,Literature - Year 9,3.0
20,36,Foreign Language - Year 5,1.0
53,34,Maths - Year 10,2.0
22,16,Science - Year 4,1.0
59,36,Literature - Year 9,3.0
40,7,English - Year 11,1.0
70,16,Science - Year 10,3.0
42,14,Geography - Year 4,3.0
54,11,Foreign Language - Year 6,3.0
1,37,History - Year 7,3.0
7,20,Geography - Year 4,2.0
7,38,Art - Year 4,1.0
76,17,Maths - Year 4,1.0
66,37,History - Year 6,1.0
37,3,Literature - Year 9,3.0
18,5,Economics - Year 11,3.0
45,15,Physical Education - Year 11,1.0
15,36,Foreign Language - Year 5,2.0
8,29,Computer Science - Year 12,3.0
28,4,Literature - Year 9,1.0
74,11,Foreign Language - Year 7,3.0
75,12,English - Year 12,1.0
57,18,Foreign Language - Year 5,2.0
68,0,Foreign Language - Year 7,1.0
75,23,Physical Education - Year 12,2.0
19,32,English - Year 6,3.0
75,35,Computer Science - Year 12,2.0
10,1,Physical Education - Year 12,3.0
27,9,Art - Year 4,1.0
56,11,Foreign Language - Year 5,3.0
14,0,Foreign Language - Year 7,2.0
75,34,Maths - Year 12,3.0
66,36,Foreign Language - Year 6,1.0
59,21,Maths - Year 9,2.0
63,0,Foreign Language - Year 5,2.0
