Student,Mentor,Subject,Hours
12,36,Foreign Language - Year 7,2.0
66,0,Foreign Language - Year 5,1.0
1,36,Literature - Year 9,1.0
19,16,Science - Year 4,2.0
71,9,Art - Year 4,2.0
69,6,Geography - Year 4,1.0
39,9,Art - Year 4,1.0
72,11,Foreign Language - Year 7,3.0
67,35,Computer Science - Year 8,1.0
61,32,English - Year 12,3.0
29,1,Physical Education - Year 12,3.0
25,37,History - Year 9,3.0
15,39,Foreign Language - Year 6,1.0
34,0,Foreign Language - Year 7,3.0
0,22,Maths - Year 8,1.0
44,36,Foreign Language - Year 6,2.0
38,17,Maths - Year 12,3.0
27,32,English - Year 12,3.0
5,31,Physical Education - Year 6,2.0
33,7,English - Year 11,1.0
42,38,Art - Year 4,2.0
7,29,Science - Year 4,1.0
47,36,Literature - Year 9,3.0
46,12,English - Year 6,1.0
32,1,Physical Education - Year 7,2.0
42,29,Science - Year 4,1.0
10,5,Economics - Year 11,2.0
13,34,Maths - Year 10,1.0
56,19,English - Year 11,1.0
69,9,Art - Year 4,2.0
26,8,Computer Science - Year 8,1.0
6,1,Physical Education - Year 8,1.0
9,16,Science - Year 10,2.0
45,15,Physical Education - Year 9,1.0
16,18,Foreign Language - Year 7,2.0
8,35,Computer Science - Year 8,3.0
44,19,English - Year 6,2.0
3,20,Geography - Year 4,1.0
11,5,Economics - Year 11,2.0
3,38,Art - Year 4,1.0
68,31,Physical Education - Year 9,1.0
32,11,Foreign Language - Year 7,2.0
74,36,Foreign Language - Year 7,2.0
14,37,History - Year 7,1.0
39,29,Science - Year 4,3.0
65,11,Foreign Language - Year 5,3.0
36,17,Maths - Year 11,1.0
