Student,Mentor,Subject,Hours
36,23,Physical Education - Year 5,2.0
41,36,Literature - Year 9,3.0
32,27,History - Year 10,1.0
20,36,Foreign Language - Year 5,2.0
75,37,History - Year 12,3.0
55,37,History - Year 11,1.0
58,20,Geography - Year 4,1.0
23,0,Foreign Language - Year 5,3.0
44,29,Economics - Year 11,3.0
53,17,Maths - Year 12,3.0
55,34,Maths - Year 11,1.0
42,16,Science - Year 10,1.0
55,18,Economics - Year 11,2.0
79,36,Literature - Year 9,3.0
22,32,English - Year 11,2.0
71,17,Maths - Year 12,1.0
67,16,Economics - Year 11,3.0
70,15,Physical Education - Year 11,1.0
65,32,English - Year 7,2.0
43,24,Computer Science - Year 8,2.0
8,22,Maths - Year 11,1.0
11,11,Foreign Language - Year 7,3.0
18,5,Economics - Year 11,3.0
39,36,Foreign Language - Year 6,2.0
74,11,Foreign Language - Year 7,3.0
62,2,Maths - Year 7,1.0
26,1,Physical Education - Year 12,3.0
12,3,Literature - Year 9,3.0
28,5,Economics - Year 11,1.0
69,35,Computer Science - Year 12,1.0
15,29,Science - Year 10,2.0
13,7,English - Year 12,1.0
13,8,Computer Science - Year 12,3.0
5,32,English - Year 4,2.0
67,1,Physical Education - Year 11,3.0
38,11,Foreign Language - Year 7,2.0
30,19,English - Year 12,3.0
