Student,Mentor,Subject,Hours
12,20,Geography - Year 4,3.0
66,32,English - Year 4,2.0
50,31,Physical Education - Year 9,2.0
11,29,Science - Year 4,3.0
48,8,Computer Science - Year 8,1.0
51,39,Foreign Language - Year 7,1.0
47,0,Foreign Language - Year 6,3.0
25,16,Science - Year 10,1.0
31,16,Science - Year 4,1.0
4,29,Science - Year 4,2.0
22,11,Foreign Language - Year 6,2.0
29,37,History - Year 5,3.0
24,12,English - Year 11,1.0
7,35,Computer Science - Year 8,1.0
55,35,Computer Science - Year 8,3.0
43,24,Computer Science - Year 8,2.0
21,7,English - Year 11,1.0
48,37,History - Year 8,1.0
13,1,Physical Education - Year 7,3.0
70,5,Economics - Year 11,3.0
17,17,Maths - Year 5,3.0
28,36,Foreign Language - Year 7,1.0
37,36,Literature - Year 9,3.0
72,32,English - Year 10,2.0
39,19,English - Year 5,1.0
52,9,Art - Year 4,2.0
45,36,Foreign Language - Year 6,2.0
36,9,Art - Year 4,1.0
57,18,Economics - Year 11,2.0
19,9,Art - Year 4,3.0
62,17,Maths - Year 11,1.0
11,14,Geography - Year 4,2.0
16,19,English - Year 6,2.0
29,11,Foreign Language - Year 5,3.0
75,16,Science - Year 10,2.0
45,32,English - Year 6,2.0
74,36,Foreign Language - Year 7,1.0
7,1,Physical Education - Year 8,3.0
59,0,Foreign Language - Year 6,2.0
53,3,Literature - Year 9,3.0
67,0,Foreign Language - Year 6,2.0
50,36,Literature - Year 9,3.0
