Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,5,"[43, 50]",2.0
34,Maths - Year 11,5,"[3, 47]",2.0
6,Geography - Year 4,2,"[12, 73]",2.0
10,Physical Education - Year 8,1,"[49, 14]",2.0
12,English - Year 9,3,"[27, 1]",3.0
15,Physical Education - Year 12,3,"[7, 59]",2.0
15,Physical Education - Year 7,1,"[54, 44]",2.0
21,Maths - Year 4,2,"[73, 20]",2.0
22,Maths - Year 12,1,"[24, 28]",3.0
23,Physical Education - Year 11,1,"[55, 3]",2.0
26,Maths - Year 6,5,"[56, 61]",2.0
27,History - Year 8,2,"[49, 19]",2.0
28,Physical Education - Year 6,3,"[72, 30]",2.0
