Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,4,"[31, 61]",3.0
34,Maths - Year 10,5,"[36, 7]",3.0
34,Maths - Year 9,5,"[29, 44]",3.0
8,Computer Science - Year 12,2,"[38, 60]",2.0
12,English - Year 4,1,"[67, 65]",3.0
15,Maths - Year 7,1,"[64, 48]",3.0
21,Maths - Year 11,3,"[33, 76]",2.0
22,Maths - Year 4,5,"[46, 66]",3.0
23,Foreign Language - Year 6,3,"[41, 63]",2.0
26,Maths - Year 5,2,"[6, 79]",2.0
27,History - Year 11,4,"[58, 62]",3.0
28,Physical Education - Year 5,3,"[50, 27]",3.0
28,Maths - Year 5,4,"[50, 69]",2.0
31,Physical Education - Year 12,4,"[72, 39]",2.0
