Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,2,"[14, 35]",2.0
34,Maths - Year 10,2,"[38, 6]",2.0
34,Maths - Year 10,4,"[37, 77]",2.0
35,Computer Science - Year 8,3,"[75, 70]",2.0
10,Physical Education - Year 7,2,"[32, 7]",2.0
12,English - Year 10,1,"[73, 38]",3.0
15,Physical Education - Year 5,4,"[2, 9]",3.0
21,Maths - Year 4,1,"[30, 63]",2.0
22,Maths - Year 8,4,"[34, 75]",3.0
23,Physical Education - Year 10,4,"[73, 38]",2.0
26,Maths - Year 5,1,"[4, 36]",2.0
27,History - Year 9,1,"[15, 25]",3.0
28,Physical Education - Year 9,1,"[41, 71]",3.0
28,Physical Education - Year 7,1,"[28, 72]",2.0
31,Physical Education - Year 5,1,"[36, 29]",3.0
31,Physical Education - Year 8,1,"[27, 75]",3.0
