Student,Mentor,Subject,Hours
28,9,Art - Year 4,3.0
63,35,Computer Science - Year 8,2.0
37,11,Foreign Language - Year 5,3.0
56,36,Foreign Language - Year 5,1.0
24,0,Foreign Language - Year 7,3.0
0,32,English - Year 11,3.0
69,18,Economics - Year 11,2.0
34,11,Foreign Language - Year 6,1.0
11,8,Computer Science - Year 8,3.0
14,29,Science - Year 4,3.0
44,36,Foreign Language - Year 7,2.0
41,4,Literature - Year 9,1.0
44,19,English - Year 7,2.0
65,7,English - Year 11,1.0
28,14,Geography - Year 4,2.0
28,17,Maths - Year 4,3.0
6,1,Physical Education - Year 12,3.0
66,1,Physical Education - Year 12,3.0
20,11,Foreign Language - Year 7,1.0
20,32,English - Year 7,3.0
31,37,History - Year 8,1.0
52,17,Maths - Year 11,1.0
38,16,Science - Year 10,1.0
54,6,Geography - Year 4,2.0
57,37,History - Year 5,3.0
65,5,Economics - Year 11,3.0
35,24,Computer Science - Year 12,1.0
12,16,Science - Year 10,3.0
3,20,Geography - Year 4,1.0
43,3,Literature - Year 9,3.0
72,36,Foreign Language - Year 5,3.0
3,38,Art - Year 4,1.0
60,36,Literature - Year 9,1.0
13,11,Foreign Language - Year 6,2.0
51,0,Foreign Language - Year 7,3.0
25,24,Computer Science - Year 12,1.0
58,19,English - Year 9,1.0
54,29,Science - Year 4,2.0
61,36,Literature - Year 9,3.0
