Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 5,3,"[49, 55]",3.0
34,Maths - Year 9,1,"[1, 73]",3.0
34,Maths - Year 9,2,"[22, 50]",3.0
8,Computer Science - Year 12,4,"[61, 28]",2.0
10,Physical Education - Year 6,2,"[4, 43]",2.0
12,English - Year 8,1,"[75, 63]",2.0
15,Physical Education - Year 10,3,"[59, 78]",3.0
21,Maths - Year 12,4,"[41, 27]",2.0
22,Science - Year 10,1,"[52, 21]",2.0
23,Physical Education - Year 5,1,"[65, 66]",2.0
24,Computer Science - Year 12,2,"[27, 17]",2.0
26,Maths - Year 11,3,"[10, 11]",2.0
27,History - Year 7,4,"[48, 54]",3.0
28,Maths - Year 7,4,"[72, 48]",2.0
28,Physical Education - Year 10,5,"[52, 76]",3.0
31,Physical Education - Year 10,3,"[57, 77]",3.0
