Student,Mentor,Subject,Hours
27,17,Maths - Year 12,1.0
50,11,Foreign Language - Year 6,2.0
69,17,Maths - Year 8,3.0
56,34,Maths - Year 11,2.0
62,1,Physical Education - Year 12,2.0
15,38,Art - Year 4,2.0
32,5,Economics - Year 11,3.0
35,16,Science - Year 10,3.0
76,19,English - Year 6,3.0
16,1,Physical Education - Year 9,3.0
37,9,Art - Year 4,1.0
21,9,Art - Year 4,1.0
45,15,Physical Education - Year 7,1.0
58,32,English - Year 8,3.0
9,32,English - Year 7,3.0
20,1,Physical Education - Year 12,1.0
79,36,Geography - Year 4,1.0
60,27,History - Year 9,1.0
44,34,Maths - Year 12,3.0
25,29,Computer Science - Year 8,3.0
46,8,Computer Science - Year 12,2.0
9,36,Foreign Language - Year 7,3.0
78,4,Literature - Year 9,2.0
41,24,Computer Science - Year 12,2.0
33,8,Computer Science - Year 8,1.0
40,36,Literature - Year 9,1.0
10,16,Science - Year 4,1.0
23,37,History - Year 5,2.0
70,36,Foreign Language - Year 5,2.0
0,18,Foreign Language - Year 6,2.0
79,9,Art - Year 4,3.0
37,20,Geography - Year 4,3.0
64,7,English - Year 11,1.0
14,37,History - Year 12,2.0
42,36,Foreign Language - Year 5,3.0
16,3,Literature - Year 9,1.0
37,29,Science - Year 4,2.0
49,14,Geography - Year 4,3.0
65,9,Art - Year 4,3.0
