Mentor,Subject,Group Number,Students,Total Hours
10,Physical Education - Year 10,1,"[67, 58]",2.0
12,English - Year 10,4,"[38, 51]",3.0
15,Physical Education - Year 5,1,"[73, 57]",2.0
15,Physical Education - Year 8,4,"[69, 23]",2.0
21,Maths - Year 11,4,"[7, 34]",2.0
22,Maths - Year 7,2,"[55, 76]",2.0
23,Foreign Language - Year 7,2,"[68, 76]",2.0
26,Maths - Year 8,5,"[79, 69]",2.0
27,History - Year 7,3,"[47, 78]",2.0
28,Physical Education - Year 5,1,"[18, 28]",2.0
28,Physical Education - Year 10,2,"[38, 70]",2.0
31,Physical Education - Year 11,1,"[14, 6]",2.0
31,Physical Education - Year 11,3,"[1, 7]",2.0
31,Physical Education - Year 8,3,"[15, 65]",2.0
