Mentor,Subject,Group Number,Students,Total Hours
34,Economics - Year 11,4,"[51, 9]",2.0
34,Economics - Year 11,5,"[35, 0]",2.0
35,Art - Year 4,5,"[15, 14]",2.0
10,Physical Education - Year 7,3,"[55, 11]",2.0
12,English - Year 5,2,"[38, 45]",2.0
15,Physical Education - Year 12,1,"[62, 28]",2.0
15,Physical Education - Year 12,5,"[73, 63]",2.0
21,Maths - Year 8,2,"[43, 8]",2.0
23,Physical Education - Year 11,2,"[18, 51]",2.0
26,Maths - Year 4,3,"[14, 37]",2.0
27,History - Year 11,3,"[31, 51]",2.0
28,Maths - Year 7,5,"[11, 40]",2.0
28,Maths - Year 11,5,"[35, 0]",2.0
