Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 5,5,"[31, 34]",3.0
34,Maths - Year 11,4,"[21, 77]",2.0
34,Maths - Year 10,5,"[64, 58]",2.0
34,Maths - Year 5,2,"[57, 3]",3.0
35,Geography - Year 4,2,"[17, 20]",3.0
10,Physical Education - Year 5,3,"[39, 8]",2.0
12,English - Year 10,5,"[54, 66]",2.0
15,Maths - Year 7,2,"[10, 23]",3.0
21,Maths - Year 4,4,"[6, 69]",2.0
22,Science - Year 10,3,"[58, 54]",3.0
23,Physical Education - Year 9,2,"[38, 74]",2.0
26,Maths - Year 6,2,"[36, 49]",2.0
27,History - Year 5,5,"[57, 39]",3.0
28,Physical Education - Year 5,2,"[57, 31]",2.0
28,Maths - Year 5,1,"[39, 5]",3.0
31,Physical Education - Year 6,2,"[16, 24]",2.0
31,Physical Education - Year 7,1,"[70, 23]",2.0
31,Physical Education - Year 7,2,"[26, 10]",2.0
