Student,Mentor,Subject,Hours
20,1,Physical Education - Year 5,3.0
63,9,Art - Year 4,2.0
11,36,Foreign Language - Year 5,3.0
64,35,Computer Science - Year 12,1.0
41,39,Foreign Language - Year 6,1.0
15,5,Economics - Year 11,3.0
71,32,English - Year 11,3.0
55,16,Science - Year 10,2.0
29,17,Maths - Year 10,3.0
30,17,Maths - Year 12,1.0
50,36,Foreign Language - Year 6,3.0
59,18,Economics - Year 11,2.0
58,29,Science - Year 4,1.0
65,19,English - Year 11,1.0
1,11,Foreign Language - Year 5,2.0
62,32,English - Year 12,3.0
34,36,Foreign Language - Year 7,3.0
14,7,English - Year 12,1.0
4,29,Science - Year 10,3.0
3,0,Foreign Language - Year 6,1.0
28,20,Geography - Year 4,3.0
57,1,Physical Education - Year 8,3.0
29,16,Science - Year 10,2.0
46,0,Foreign Language - Year 5,3.0
15,19,English - Year 11,2.0
72,29,Computer Science - Year 12,1.0
10,9,Art - Year 4,1.0
15,37,History - Year 11,1.0
31,0,Foreign Language - Year 5,2.0
38,37,History - Year 12,3.0
