Student,Mentor,Subject,Hours
75,31,Physical Education - Year 9,3.0
14,19,English - Year 12,1.0
58,36,Literature - Year 9,1.0
75,17,Maths - Year 9,2.0
34,17,Maths - Year 12,2.0
35,0,Foreign Language - Year 7,3.0
37,1,Physical Education - Year 12,3.0
3,22,Maths - Year 12,1.0
71,32,English - Year 9,1.0
56,1,Physical Education - Year 12,2.0
33,32,English - Year 12,2.0
3,28,Physical Education - Year 12,1.0
7,11,Foreign Language - Year 5,1.0
42,11,Foreign Language - Year 7,3.0
40,2,Maths - Year 8,1.0
56,24,Computer Science - Year 12,2.0
5,18,Foreign Language - Year 6,2.0
27,32,English - Year 6,2.0
78,11,Foreign Language - Year 5,3.0
60,9,Art - Year 4,3.0
17,7,English - Year 12,1.0
65,32,English - Year 9,1.0
1,29,Computer Science - Year 8,3.0
65,36,Literature - Year 9,3.0
47,16,Science - Year 10,1.0
46,29,Science - Year 10,2.0
71,36,Literature - Year 9,2.0
44,20,Geography - Year 4,3.0
62,39,Foreign Language - Year 7,1.0
6,0,Foreign Language - Year 7,2.0
59,31,Physical Education - Year 12,1.0
75,37,History - Year 9,1.0
76,5,Economics - Year 11,2.0
79,1,Physical Education - Year 5,1.0
71,27,History - Year 9,1.0
12,36,Literature - Year 9,3.0
32,16,Science - Year 10,3.0
69,37,History - Year 6,2.0
24,11,Foreign Language - Year 6,3.0
20,19,English - Year 6,2.0
79,36,Foreign Language - Year 5,1.0
14,37,History - Year 12,1.0
38,5,Economics - Year 11,1.0
17,35,Computer Science - Year 12,1.0
66,6,Geography - Year 4,2.0
