Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 5,1,"[53, 23]",3.0
34,Maths - Year 10,5,"[34, 35]",2.0
35,Computer Science - Year 12,1,"[1, 19]",2.0
35,Computer Science - Year 8,5,"[30, 22]",2.0
6,Geography - Year 4,5,"[26, 15]",2.0
10,Physical Education - Year 5,3,"[70, 4]",2.0
12,English - Year 8,1,"[71, 24]",3.0
15,Physical Education - Year 12,5,"[17, 48]",3.0
21,Maths - Year 4,3,"[49, 68]",2.0
22,Science - Year 10,5,"[34, 67]",3.0
23,Physical Education - Year 11,4,"[64, 56]",2.0
26,Maths - Year 8,3,"[29, 61]",2.0
27,History - Year 8,1,"[22, 57]",2.0
28,Physical Education - Year 8,5,"[75, 71]",2.0
28,Physical Education - Year 10,2,"[72, 67]",3.0
31,Physical Education - Year 12,1,"[54, 1]",3.0
31,Physical Education - Year 12,3,"[19, 11]",3.0
