Student,Mentor,Subject,Hours
78,11,Foreign Language - Year 6,2.0
40,5,Economics - Year 11,1.0
33,11,Foreign Language - Year 6,1.0
41,36,Literature - Year 9,3.0
16,11,Foreign Language - Year 7,2.0
2,9,Art - Year 4,2.0
32,27,History - Year 5,1.0
19,1,Physical Education - Year 8,3.0
65,7,English - Year 11,1.0
35,32,English - Year 12,2.0
65,37,History - Year 11,3.0
25,32,English - Year 7,1.0
20,29,Science - Year 10,3.0
61,37,History - Year 12,1.0
67,11,Foreign Language - Year 5,3.0
50,0,Foreign Language - Year 5,3.0
11,36,Literature - Year 9,1.0
69,0,Foreign Language - Year 5,2.0
54,19,English - Year 11,3.0
49,16,Science - Year 4,2.0
76,18,Economics - Year 11,2.0
58,3,Literature - Year 9,3.0
42,8,Computer Science - Year 8,1.0
49,17,Maths - Year 4,2.0
77,15,Physical Education - Year 12,1.0
68,0,Foreign Language - Year 7,2.0
6,36,Literature - Year 9,2.0
5,34,Maths - Year 12,1.0
41,32,English - Year 9,3.0
65,5,Economics - Year 11,3.0
57,16,Science - Year 10,2.0
37,39,Foreign Language - Year 6,1.0
12,36,Literature - Year 9,3.0
70,9,Art - Year 4,2.0
23,14,Geography - Year 4,3.0
22,4,Literature - Year 9,2.0
46,36,Foreign Language - Year 7,1.0
53,17,Maths - Year 11,2.0
60,1,Physical Education - Year 6,3.0
48,0,Foreign Language - Year 5,2.0
14,29,Computer Science - Year 8,2.0
4,20,Geography - Year 4,3.0
