Student,Mentor,Subject,Hours
27,17,Maths - Year 12,3.0
53,37,History - Year 8,3.0
5,0,Foreign Language - Year 5,3.0
51,20,Geography - Year 4,3.0
57,0,Foreign Language - Year 5,2.0
40,0,Foreign Language - Year 5,1.0
15,5,Economics - Year 11,2.0
32,8,Computer Science - Year 8,2.0
13,11,Foreign Language - Year 5,1.0
65,29,Science - Year 10,3.0
53,15,Physical Education - Year 8,1.0
46,9,Art - Year 4,1.0
59,36,Geography - Year 4,3.0
78,39,Foreign Language - Year 6,1.0
35,32,English - Year 12,2.0
43,11,Foreign Language - Year 5,2.0
61,5,Economics - Year 11,2.0
45,36,Literature - Year 9,2.0
55,17,Maths - Year 5,1.0
56,18,Economics - Year 11,2.0
76,1,Physical Education - Year 11,3.0
75,29,Science - Year 4,2.0
51,9,Art - Year 4,2.0
10,19,English - Year 7,3.0
74,36,Literature - Year 9,2.0
42,32,English - Year 8,2.0
13,7,English - Year 5,1.0
14,12,English - Year 4,1.0
77,37,History - Year 11,1.0
12,16,Economics - Year 11,3.0
24,11,Foreign Language - Year 6,3.0
60,0,Foreign Language - Year 6,2.0
29,36,Foreign Language - Year 7,3.0
11,11,Foreign Language - Year 5,2.0
68,4,Literature - Year 9,2.0
50,32,English - Year 7,2.0
78,1,Physical Education - Year 6,3.0
