Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,1,"[7, 45]",2.0
34,Maths - Year 9,3,"[31, 21]",2.0
34,Literature - Year 9,2,"[31, 5]",2.0
34,Literature - Year 9,3,"[26, 72]",2.0
35,Geography - Year 4,5,"[0, 73]",3.0
10,Physical Education - Year 7,1,"[38, 77]",2.0
12,English - Year 7,5,"[45, 27]",3.0
15,Physical Education - Year 9,1,"[26, 72]",2.0
15,Physical Education - Year 5,1,"[16, 76]",2.0
21,Maths - Year 9,4,"[41, 72]",2.0
22,Maths - Year 9,5,"[67, 26]",2.0
23,Foreign Language - Year 7,3,"[77, 38]",2.0
26,Maths - Year 7,1,"[77, 27]",2.0
27,History - Year 11,4,"[64, 28]",2.0
28,Physical Education - Year 9,3,"[49, 41]",2.0
28,Physical Education - Year 7,5,"[7, 27]",3.0
31,Physical Education - Year 5,2,"[39, 60]",2.0
31,Physical Education - Year 11,1,"[52, 23]",2.0
31,Physical Education - Year 11,3,"[28, 29]",2.0
