Student,Mentor,Subject,Hours
61,17,Maths - Year 4,2.0
36,24,Computer Science - Year 12,2.0
50,0,Foreign Language - Year 6,3.0
23,20,Geography - Year 4,3.0
39,37,History - Year 10,1.0
0,1,Physical Education - Year 8,3.0
67,35,Computer Science - Year 8,1.0
13,0,Foreign Language - Year 5,3.0
19,11,Foreign Language - Year 6,3.0
36,32,English - Year 12,1.0
29,9,Art - Year 4,1.0
78,6,Geography - Year 4,2.0
46,15,Physical Education - Year 12,1.0
53,38,Art - Year 4,2.0
31,16,Science - Year 4,3.0
1,14,Geography - Year 4,1.0
46,8,Computer Science - Year 12,3.0
38,1,Physical Education - Year 12,3.0
41,29,Computer Science - Year 12,2.0
36,37,History - Year 12,3.0
77,19,English - Year 9,3.0
61,29,Science - Year 4,3.0
23,16,Science - Year 4,1.0
77,36,Literature - Year 9,3.0
46,34,Maths - Year 12,1.0
7,9,Art - Year 4,3.0
40,7,English - Year 12,1.0
42,9,Art - Year 4,3.0
20,30,Art - Year 4,3.0
2,38,Art - Year 4,3.0
62,17,Maths - Year 10,2.0
70,32,English - Year 8,3.0
57,32,English - Year 4,2.0
32,36,Literature - Year 9,3.0
25,18,Foreign Language - Year 7,1.0
6,36,Foreign Language - Year 7,3.0
61,9,Art - Year 4,1.0
74,5,Economics - Year 11,2.0
9,36,Foreign Language - Year 5,1.0
37,5,Economics - Year 11,2.0
52,3,Literature - Year 9,3.0
21,14,Geography - Year 4,1.0
27,0,Foreign Language - Year 6,3.0
