Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,2,"[6, 4]",3.0
34,Maths - Year 11,2,"[21, 25]",3.0
34,Maths - Year 11,3,"[61, 5]",3.0
35,Art - Year 4,1,"[30, 39]",2.0
35,Computer Science - Year 8,1,"[41, 57]",2.0
8,Computer Science - Year 12,4,"[37, 58]",3.0
10,Physical Education - Year 12,2,"[58, 23]",2.0
12,English - Year 11,1,"[19, 61]",3.0
15,Physical Education - Year 8,4,"[73, 41]",3.0
22,Science - Year 4,5,"[30, 32]",2.0
24,Computer Science - Year 8,5,"[1, 49]",2.0
26,Maths - Year 4,3,"[30, 39]",2.0
27,History - Year 9,5,"[45, 66]",3.0
28,Maths - Year 11,5,"[59, 72]",3.0
28,Physical Education - Year 12,2,"[43, 67]",2.0
31,Physical Education - Year 6,4,"[6, 35]",2.0
31,Physical Education - Year 6,5,"[55, 69]",2.0
