Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 11,5,"[50, 34]",3.0
34,Maths - Year 11,4,"[62, 8]",3.0
34,Maths - Year 12,2,"[19, 14]",2.0
34,Economics - Year 11,2,"[30, 64]",2.0
35,Computer Science - Year 12,1,"[19, 61]",2.0
8,Computer Science - Year 8,2,"[48, 37]",3.0
10,Physical Education - Year 6,1,"[74, 9]",2.0
12,English - Year 11,1,"[73, 64]",3.0
15,Physical Education - Year 10,4,"[75, 67]",3.0
21,Maths - Year 9,4,"[58, 41]",2.0
22,Science - Year 10,2,"[33, 11]",2.0
23,Physical Education - Year 7,2,"[6, 60]",2.0
26,Maths - Year 7,1,"[6, 77]",2.0
27,History - Year 9,1,"[40, 41]",3.0
28,Maths - Year 9,3,"[26, 79]",2.0
28,Physical Education - Year 11,3,"[8, 71]",3.0
31,Physical Education - Year 5,5,"[56, 35]",3.0
